alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,contamination_fraction,contamination_multiplier,redraw_train_test,n_train,n_test
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,8,8.151729911139967,0.0,10.0,True,7200,800
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,9,5.702757384665588,0.0,10.0,True,7200,800
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,10,2.4885170121258597,0.0,10.0,True,7200,800
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,1,17.229431435640354,0.0,10.0,True,7200,800
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,2,17.229431435640354,0.0,10.0,True,7200,800
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,3,17.229431435640354,0.0,10.0,True,7200,800
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,4,17.229431435640354,0.0,10.0,True,7200,800
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,5,17.229431435640354,0.0,10.0,True,7200,800
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,6,17.229431435640354,0.0,10.0,True,7200,800
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,7,17.229431435640354,0.0,10.0,True,7200,800
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,8,17.229431435640354,0.0,10.0,True,7200,800
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,9,17.229431435640354,0.0,10.0,True,7200,800
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,10,17.229431435640354,0.0,10.0,True,7200,800
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,1,17.708234310348363,0.0,10.0,True,7200,800
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,2,18.731911240127985,0.0,10.0,True,7200,800
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,3,19.737355447462235,0.0,10.0,True,7200,800
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,4,16.003758324232088,0.0,10.0,True,7200,800
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,5,12.685882714260043,0.0,10.0,True,7200,800
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,6,10.625144516021074,0.0,10.0,True,7200,800
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,7,10.200082867010362,0.0,10.0,True,7200,800
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,8,7.49148624439697,0.0,10.0,True,7200,800
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,9,5.062171507541581,0.0,10.0,True,7200,800
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,10,2.8441236461438315,0.0,10.0,True,7200,800
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,1,21.818864031702795,0.0,10.0,True,7200,800
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,2,26.2670841210901,0.0,10.0,True,7200,800
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,3,21.739380567591105,0.0,10.0,True,7200,800
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,4,16.899062239610473,0.0,10.0,True,7200,800
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,5,15.474742694792514,0.0,10.0,True,7200,800
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,6,12.532934438259819,0.0,10.0,True,7200,800
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,7,9.631795211956266,0.0,10.0,True,7200,800
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,8,8.682756860300163,0.0,10.0,True,7200,800
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,9,5.085382592953887,0.0,10.0,True,7200,800
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,10,2.8288329524381037,0.0,10.0,True,7200,800
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,1,21.147602181830308,0.0,10.0,True,7200,800
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,2,27.643104183403388,0.0,10.0,True,7200,800
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,3,28.6183858782155,0.0,10.0,True,7200,800
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,4,22.707476072481615,0.0,10.0,True,7200,800
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,5,15.723887132523098,0.0,10.0,True,7200,800
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,6,14.415018316413828,0.0,10.0,True,7200,800
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,7,12.716815402740359,0.0,10.0,True,7200,800
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,8,9.027030858686787,0.0,10.0,True,7200,800
