alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test,noise_ratio
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,6,2.521926670199101,True,7200,800,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,7,2.521926670199101,True,7200,800,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,8,2.521926670199101,True,7200,800,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,9,2.521926670199101,True,7200,800,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,10,2.521926670199101,True,7200,800,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,1,2.384119489498481,True,7200,800,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,2,2.3583646863312833,True,7200,800,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,3,2.5775670374723814,True,7200,800,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,4,2.287051829428006,True,7200,800,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,5,2.5182052314410477,True,7200,800,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,6,2.8345200445488032,True,7200,800,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,7,2.5219266701204948,True,7200,800,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,8,1.9510110446130078,True,7200,800,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,9,1.998709867949433,True,7200,800,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,10,2.363628638510189,True,7200,800,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,1,2.376226469239231,True,7200,800,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,2,2.606887294107214,True,7200,800,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,3,2.5652619331746243,True,7200,800,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,4,2.233182152600305,True,7200,800,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,5,2.7987382782591546,True,7200,800,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,6,2.6394316330294894,True,7200,800,1
