alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,correlation,correlation_structure,redraw_train_test,n_train,n_test
0.05,10,100,10,TSCP_R,Gaussian,absolute_residual,0.95375,154461195100.39963,28.38644986316556,0.005006313323974609,0.6,equicorrelated,True,7200,800
0.05,10,100,10,Point_CHR,Gaussian,absolute_residual,0.94125,109163819337.61282,25.460923658711003,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,10,Unscaled,Gaussian,absolute_residual,0.925,10925276219343.24,20.129975327295462,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,10,Empirical_copula,Gaussian,absolute_residual,0.93125,114108040000.90417,36.059138407152226,0.0009996891021728516,0.6,equicorrelated,True,7200,800
0.1,10,100,10,TSCP_R,Gaussian,absolute_residual,0.91375,40637080626.35341,24.765699257224636,0.004005908966064453,0.6,equicorrelated,True,7200,800
0.1,10,100,10,Point_CHR,Gaussian,absolute_residual,0.955,188771737232.23218,30.547607544101627,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,10,Unscaled,Gaussian,absolute_residual,0.89875,5815859660529.709,18.899982055058597,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,10,Empirical_copula,Gaussian,absolute_residual,0.87875,31992952758.295567,24.80989421532637,0.0009963512420654297,0.6,equicorrelated,True,7200,800
0.2,10,100,10,TSCP_R,Gaussian,absolute_residual,0.8225,9425898246.709448,21.412154371454598,0.0019998550415039062,0.6,equicorrelated,True,7200,800
0.2,10,100,10,Point_CHR,Gaussian,absolute_residual,0.83375,10528755880.984737,23.572002219535996,0.0009996891021728516,0.6,equicorrelated,True,7200,800
0.2,10,100,10,Unscaled,Gaussian,absolute_residual,0.81125,1377109800096.5127,16.36427830566203,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,10,Empirical_copula,Gaussian,absolute_residual,0.75875,5776130005.715697,19.368496180859502,0.0009951591491699219,0.6,equicorrelated,True,7200,800
0.05,10,100,11,TSCP_R,Gaussian,absolute_residual,0.9375,74726796028.5176,26.207221293457437,0.0040132999420166016,0.6,equicorrelated,True,7200,800
0.05,10,100,11,Point_CHR,Gaussian,absolute_residual,0.97375,332188299958.5502,30.405735825906866,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,11,Unscaled,Gaussian,absolute_residual,0.92625,14711048915622.625,20.737880327434798,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,11,Empirical_copula,Gaussian,absolute_residual,0.8925,48611300306.90356,27.334791932605405,0.0010001659393310547,0.6,equicorrelated,True,7200,800
0.1,10,100,11,TSCP_R,Gaussian,absolute_residual,0.86625,18874660061.981934,22.73888825338949,0.002995729446411133,0.6,equicorrelated,True,7200,800
0.1,10,100,11,Point_CHR,Gaussian,absolute_residual,0.85,14513419104.750017,21.782430579595985,0.000997304916381836,0.6,equicorrelated,True,7200,800
0.1,10,100,11,Unscaled,Gaussian,absolute_residual,0.875,3866173951662.599,18.143795364967648,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,11,Empirical_copula,Gaussian,absolute_residual,0.8425,15475317656.394487,22.128258182692427,0.001009225845336914,0.6,equicorrelated,True,7200,800
0.2,10,100,11,TSCP_R,Gaussian,absolute_residual,0.795,7463327865.728356,20.711825165839407,0.0029969215393066406,0.6,equicorrelated,True,7200,800
0.2,10,100,11,Point_CHR,Gaussian,absolute_residual,0.7775,6721846826.243643,20.410952732398805,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,11,Unscaled,Gaussian,absolute_residual,0.805,1014833187840.2054,15.872285480383264,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,11,Empirical_copula,Gaussian,absolute_residual,0.75625,5462306805.5876875,19.914786661983648,0.001995086669921875,0.6,equicorrelated,True,7200,800
0.05,10,100,12,TSCP_R,Gaussian,absolute_residual,0.97875,216881529998.99667,28.97974595956441,0.00399470329284668,0.6,equicorrelated,True,7200,800
0.05,10,100,12,Point_CHR,Gaussian,absolute_residual,0.95625,259221593758.36728,25.785499309969133,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,12,Unscaled,Gaussian,absolute_residual,0.9525,17515146942124.81,21.10286295195572,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,12,Empirical_copula,Gaussian,absolute_residual,0.91875,76135548270.92972,23.1161836727772,0.0009970664978027344,0.6,equicorrelated,True,7200,800
0.1,10,100,12,TSCP_R,Gaussian,absolute_residual,0.9175,49435462221.24374,24.9464348945652,0.003993034362792969,0.6,equicorrelated,True,7200,800
0.1,10,100,12,Point_CHR,Gaussian,absolute_residual,0.93875,103426210582.83746,22.67429133338738,0.0010104179382324219,0.6,equicorrelated,True,7200,800
0.1,10,100,12,Unscaled,Gaussian,absolute_residual,0.91,5422828623633.625,18.768198495946184,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,12,Empirical_copula,Gaussian,absolute_residual,0.87625,30226367087.681602,21.102862951926888,0.0009989738464355469,0.6,equicorrelated,True,7200,800
0.2,10,100,12,TSCP_R,Gaussian,absolute_residual,0.83625,14131230804.530514,22.168747041486284,0.003000497817993164,0.6,equicorrelated,True,7200,800
0.2,10,100,12,Point_CHR,Gaussian,absolute_residual,0.79125,7426292409.49609,18.419885582199523,0.0009930133819580078,0.6,equicorrelated,True,7200,800
0.2,10,100,12,Unscaled,Gaussian,absolute_residual,0.84875,2236110609769.9883,17.17707960037059,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,12,Empirical_copula,Gaussian,absolute_residual,0.7975,11334353573.246565,19.688032758083,0.0020012855529785156,0.6,equicorrelated,True,7200,800
0.05,10,100,13,TSCP_R,Gaussian,absolute_residual,0.92625,52827368218.75692,26.345613997507783,0.003991842269897461,0.6,equicorrelated,True,7200,800
0.05,10,100,13,Point_CHR,Gaussian,absolute_residual,0.94125,99567346766.6908,28.41299679799061,0.001001596450805664,0.6,equicorrelated,True,7200,800
0.05,10,100,13,Unscaled,Gaussian,absolute_residual,0.95875,40248010972023.586,22.933716642013426,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,13,Empirical_copula,Gaussian,absolute_residual,0.9025,30558545020.85032,23.585559196819645,0.001001596450805664,0.6,equicorrelated,True,7200,800
0.1,10,100,13,TSCP_R,Gaussian,absolute_residual,0.87625,21304663662.267,23.74525634679226,0.004002809524536133,0.6,equicorrelated,True,7200,800
0.1,10,100,13,Point_CHR,Gaussian,absolute_residual,0.935,63461617667.0037,28.639857536692418,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,13,Unscaled,Gaussian,absolute_residual,0.9225,10749335659665.482,20.09732068546235,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,13,Empirical_copula,Gaussian,absolute_residual,0.83125,13242108876.81282,23.40816945001443,0.0009987354278564453,0.6,equicorrelated,True,7200,800
0.2,10,100,13,TSCP_R,Gaussian,absolute_residual,0.81,8803242193.194708,22.148081528025045,0.0040051937103271484,0.6,equicorrelated,True,7200,800
0.2,10,100,13,Point_CHR,Gaussian,absolute_residual,0.80625,9858930307.525824,21.324584314147366,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,13,Unscaled,Gaussian,absolute_residual,0.78625,786215469248.5295,15.472274380718511,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,13,Empirical_copula,Gaussian,absolute_residual,0.73875,4743010086.928941,22.933716641916675,0.000997304916381836,0.6,equicorrelated,True,7200,800
0.05,10,100,14,TSCP_R,Gaussian,absolute_residual,0.99375,566981939339.2678,31.52176452365282,0.004004240036010742,0.6,equicorrelated,True,7200,800
0.05,10,100,14,Point_CHR,Gaussian,absolute_residual,0.99375,1392680353283.1426,35.7169652920288,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,14,Unscaled,Gaussian,absolute_residual,0.97125,88945507306797.72,24.826323012574225,0.0,0.6,equicorrelated,True,7200,800
