alpha,n_dim,n_cal,trial,method,noise_type,score_type,redraw_train_test,n_train,n_test,test_coverage,coverage_volume,runtime,n_shapes,grid_size,template_calibration_size
0.1,2,50,0,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8583333333333333,8.992634405393945,0.09227750007994473,2,20,25
0.1,2,50,1,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9566666666666667,21.41775481270573,0.0932471000123769,2,20,25
0.1,2,50,2,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.885,8.854349989860568,0.0922986000077799,1,20,25
0.1,2,50,3,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8766666666666667,8.529631938360605,0.08434160007163882,1,20,25
0.1,2,50,4,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.935,10.601676884168432,0.1336503999773413,1,20,25
0.1,2,50,5,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.925,10.87659848047411,0.10854469996411353,2,20,25
0.1,2,50,6,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9416666666666667,19.95374386847113,0.11343919998034835,2,20,25
0.1,2,50,7,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9383333333333334,9.781487499088838,0.09868910000659525,1,20,25
0.1,2,50,8,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.735,6.479056196062962,0.10979799996130168,1,20,25
0.1,2,50,9,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8766666666666667,8.054909414126428,0.11161499994341284,2,20,25
0.1,2,50,10,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.98,14.09349123875853,0.10012760001700372,2,20,25
0.1,2,50,11,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9883333333333333,16.017522528736432,0.09805809997487813,1,20,25
0.1,2,50,12,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9533333333333334,10.442645822397276,0.10078610002528876,1,20,25
0.1,2,50,13,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9916666666666667,24.459422081513825,0.07467290002387017,3,20,25
0.1,2,50,14,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9433333333333334,10.215053633928278,0.1225047999760136,1,20,25
0.1,2,50,15,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.92,8.974501142180511,0.12418980000074953,1,20,25
0.1,2,50,16,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9933333333333333,25.624799630698668,0.12766340002417564,2,20,25
0.1,2,50,17,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.96,11.073883230273271,0.12083959998562932,1,20,25
0.1,2,50,18,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9316666666666666,11.89091060533169,0.1104682000586763,2,20,25
0.1,2,50,19,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9866666666666667,27.87017499172817,0.1028705999488011,3,20,25
0.1,2,50,20,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9283333333333333,10.078236368060185,0.10753300006035715,2,20,25
0.1,2,50,21,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.89,13.291905081102582,0.09206719999201596,2,20,25
0.1,2,50,22,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9816666666666667,23.76058450593333,0.11066430003847927,2,20,25
0.1,2,50,23,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9016666666666666,9.097589101908172,0.08343280002009124,1,20,25
0.1,2,50,24,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.91,9.915154607897943,0.1152142999926582,2,20,25
0.1,2,50,25,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9933333333333333,26.562075795147095,0.08180819998960942,2,20,25
0.1,2,50,26,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.95,13.865130037084224,0.12589579995255917,2,20,25
0.1,2,50,27,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9616666666666667,12.997899759606689,0.12519090005662292,2,20,25
0.1,2,50,28,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9066666666666666,8.431113084762583,0.0884560999693349,1,20,25
0.1,2,50,29,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.95,14.648758745296202,0.12270930001977831,2,20,25
0.1,2,50,30,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.7533333333333333,6.801549234095573,0.09415240003727376,2,20,25
0.1,2,50,31,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.975,23.20290401689926,0.10276680008973926,1,20,25
0.1,2,50,32,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.88,8.64518616582245,0.1041865999577567,1,20,25
0.1,2,50,33,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9683333333333334,16.808454989409583,0.10284860001411289,2,20,25
0.1,2,50,34,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9666666666666667,13.54946402874739,0.08706879999954253,1,20,25
0.1,2,50,35,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8483333333333334,6.459106603681949,0.12558150000404567,1,20,25
0.1,2,50,36,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9466666666666667,11.766665546894895,0.1305341999977827,1,20,25
0.1,2,50,37,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9566666666666667,15.056292479504968,0.1253209999995306,2,20,25
0.1,2,50,38,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.7766666666666666,5.50298794200542,0.1148918999824673,1,20,25
0.1,2,50,39,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9583333333333334,11.458065050358861,0.1180313000222668,1,20,25
0.1,2,50,40,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.935,9.011186540113474,0.11457449989393353,1,20,25
0.1,2,50,41,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9366666666666666,10.225593471819833,0.10593099996913224,1,20,25
0.1,2,50,42,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9216666666666666,9.738481268776326,0.11054350004997104,2,20,25
0.1,2,50,43,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9583333333333334,11.81955398548407,0.12533300009090453,3,20,25
0.1,2,50,44,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.825,8.742321266072528,0.1367110999999568,2,20,25
