alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,redraw_train_test,n_train,n_test,noise_ratio
0.1,10,100,24,TSCP_R,Gaussian,absolute_residual,0.925,21535.71095718037,2.9741730841834766,0.0030035972595214844,True,7200,800,1
0.1,10,100,24,Point_CHR,Gaussian,absolute_residual,0.94625,50803.966097793666,3.7197284631827077,0.0,True,7200,800,1
0.1,10,100,24,Unscaled,Gaussian,absolute_residual,0.8925,12754.868279834775,2.573757337766665,0.0,True,7200,800,1
0.1,10,100,24,Empirical_copula,Gaussian,absolute_residual,0.8025,6725.870593499629,3.048853852910696,0.0009958744049072266,True,7200,800,1
0.1,10,100,25,TSCP_R,Gaussian,absolute_residual,0.91375,18366.320920241687,2.909788481560534,0.0050013065338134766,True,7200,800,1
0.1,10,100,25,Point_CHR,Gaussian,absolute_residual,0.89,17627.81150767096,3.0903118408487504,0.0,True,7200,800,1
0.1,10,100,25,Unscaled,Gaussian,absolute_residual,0.9,12403.316573129361,2.5665739550769744,0.0,True,7200,800,1
0.1,10,100,25,Empirical_copula,Gaussian,absolute_residual,0.83375,7423.756728914153,3.0954317128394386,0.0009996891021728516,True,7200,800,1
0.1,10,100,26,TSCP_R,Gaussian,absolute_residual,0.8725,8200.367142358487,2.830990231983235,0.002996683120727539,True,7200,800,1
0.1,10,100,26,Point_CHR,Gaussian,absolute_residual,0.8825,13358.144064604443,2.955837552054197,0.0,True,7200,800,1
0.1,10,100,26,Unscaled,Gaussian,absolute_residual,0.88625,10330.468758986799,2.5200665097916746,0.0010037422180175781,True,7200,800,1
0.1,10,100,26,Empirical_copula,Gaussian,absolute_residual,0.7925,3879.591751483759,2.7220366892248284,0.0009996891021728516,True,7200,800,1
0.1,10,100,27,TSCP_R,Gaussian,absolute_residual,0.8825,13843.27296789847,2.734413739103913,0.0040056705474853516,True,7200,800,1
0.1,10,100,27,Point_CHR,Gaussian,absolute_residual,0.9125,32302.422208922108,3.469855450378623,0.0,True,7200,800,1
0.1,10,100,27,Unscaled,Gaussian,absolute_residual,0.875,9876.006053879202,2.5087543281418214,0.0,True,7200,800,1
0.1,10,100,27,Empirical_copula,Gaussian,absolute_residual,0.8275,5585.068920729297,2.533234809867693,0.0019974708557128906,True,7200,800,1
0.1,10,100,28,TSCP_R,Gaussian,absolute_residual,0.92375,20503.52434486039,2.9012657802872694,0.0030014514923095703,True,7200,800,1
0.1,10,100,28,Point_CHR,Gaussian,absolute_residual,0.9425,42338.116584464355,3.4511487549280373,0.001102447509765625,True,7200,800,1
0.1,10,100,28,Unscaled,Gaussian,absolute_residual,0.8975,13077.774865576912,2.5802000877629174,0.0,True,7200,800,1
0.1,10,100,28,Empirical_copula,Gaussian,absolute_residual,0.83,7388.835164718584,3.0118786224254888,0.0008854866027832031,True,7200,800,1
0.1,10,100,29,TSCP_R,Gaussian,absolute_residual,0.9075,19181.412166947033,3.0403787856876745,0.004008769989013672,True,7200,800,1
0.1,10,100,29,Point_CHR,Gaussian,absolute_residual,0.9,20917.22525385725,3.098402619051181,0.0,True,7200,800,1
0.1,10,100,29,Unscaled,Gaussian,absolute_residual,0.9,14476.779001421708,2.606556807796094,0.0,True,7200,800,1
0.1,10,100,29,Empirical_copula,Gaussian,absolute_residual,0.84875,10251.806593616762,2.8935927347883386,0.000997304916381836,True,7200,800,1
0.1,10,100,30,TSCP_R,Gaussian,absolute_residual,0.9225,13761.016283918081,2.788641762560584,0.003996372222900391,True,7200,800,1
0.1,10,100,30,Point_CHR,Gaussian,absolute_residual,0.9425,31737.732488671136,3.379130811847511,0.0010037422180175781,True,7200,800,1
0.1,10,100,30,Unscaled,Gaussian,absolute_residual,0.90625,11525.046554717082,2.5477937554456602,0.0,True,7200,800,1
0.1,10,100,30,Empirical_copula,Gaussian,absolute_residual,0.855,6202.699310758748,2.75540139494362,0.0009975433349609375,True,7200,800,1
0.1,10,100,31,TSCP_R,Gaussian,absolute_residual,0.87625,9790.86447604516,2.778840104296945,0.003000974655151367,True,7200,800,1
0.1,10,100,31,Point_CHR,Gaussian,absolute_residual,0.8575,10290.021481880869,2.9943645695802954,0.0009996891021728516,True,7200,800,1
0.1,10,100,31,Unscaled,Gaussian,absolute_residual,0.87125,8289.414094461175,2.4652012741121654,0.0,True,7200,800,1
0.1,10,100,31,Empirical_copula,Gaussian,absolute_residual,0.7875,4880.9808696199825,2.8206048172809766,0.0009970664978027344,True,7200,800,1
0.1,10,100,32,TSCP_R,Gaussian,absolute_residual,0.95125,35663.08378423083,3.212244454749541,0.004004240036010742,True,7200,800,1
0.1,10,100,32,Point_CHR,Gaussian,absolute_residual,0.97625,119017.62439920017,3.950777210672413,0.0,True,7200,800,1
0.1,10,100,32,Unscaled,Gaussian,absolute_residual,0.955,31407.917425303338,2.816462116608585,0.0,True,7200,800,1
0.1,10,100,32,Empirical_copula,Gaussian,absolute_residual,0.87,12020.870646616517,2.941307114225779,0.0009958744049072266,True,7200,800,1
0.1,10,100,33,TSCP_R,Gaussian,absolute_residual,0.93625,27195.045389017407,3.1752905354322705,0.0039997100830078125,True,7200,800,1
0.1,10,100,33,Point_CHR,Gaussian,absolute_residual,0.8675,12122.10847836663,2.9818903726859327,0.0,True,7200,800,1
0.1,10,100,33,Unscaled,Gaussian,absolute_residual,0.90625,12979.228275728323,2.5782491727623307,0.0,True,7200,800,1
0.1,10,100,33,Empirical_copula,Gaussian,absolute_residual,0.85125,8752.255246202887,2.8438920071387725,0.0010066032409667969,True,7200,800,1
0.1,10,100,34,TSCP_R,Gaussian,absolute_residual,0.91125,17613.003265968768,3.069896313816233,0.0029938220977783203,True,7200,800,1
0.1,10,100,34,Point_CHR,Gaussian,absolute_residual,0.9625,75487.8063397593,3.662823782042543,0.0009996891021728516,True,7200,800,1
0.1,10,100,34,Unscaled,Gaussian,absolute_residual,0.92875,14119.97384556725,2.6000601148982474,0.0,True,7200,800,1
0.1,10,100,34,Empirical_copula,Gaussian,absolute_residual,0.8525,7902.840107566913,2.9059736001572496,0.0009968280792236328,True,7200,800,1
0.1,10,100,35,TSCP_R,Gaussian,absolute_residual,0.90875,15997.818219513261,2.9910841381465865,0.004010200500488281,True,7200,800,1
0.1,10,100,35,Point_CHR,Gaussian,absolute_residual,0.94375,54906.16132274215,3.990969648146008,0.0,True,7200,800,1
0.1,10,100,35,Unscaled,Gaussian,absolute_residual,0.91375,13759.690992111246,2.5933484159560947,0.0,True,7200,800,1
0.1,10,100,35,Empirical_copula,Gaussian,absolute_residual,0.81125,5734.79186410141,2.7233992627343344,0.0009958744049072266,True,7200,800,1
0.1,10,100,36,TSCP_R,Gaussian,absolute_residual,0.87875,10943.75849883769,2.7212750315453604,0.0029947757720947266,True,7200,800,1
0.1,10,100,36,Point_CHR,Gaussian,absolute_residual,0.90875,17990.55338840411,3.07946704712573,0.0,True,7200,800,1
0.1,10,100,36,Unscaled,Gaussian,absolute_residual,0.89875,12313.426221208398,2.56470779196986,0.0,True,7200,800,1
0.1,10,100,36,Empirical_copula,Gaussian,absolute_residual,0.81625,6433.094438665867,2.685243119288658,0.0009963512420654297,True,7200,800,1
0.1,10,100,37,TSCP_R,Gaussian,absolute_residual,0.8675,7577.761165638119,2.7596686950210865,0.004993438720703125,True,7200,800,1
0.1,10,100,37,Point_CHR,Gaussian,absolute_residual,0.87625,8317.776490535907,2.940660548994689,0.0010008811950683594,True,7200,800,1
0.1,10,100,37,Unscaled,Gaussian,absolute_residual,0.90375,9822.436087939368,2.5073901829749214,0.0,True,7200,800,1
0.1,10,100,37,Empirical_copula,Gaussian,absolute_residual,0.81375,4416.7998657813405,2.6463983013030967,0.0019986629486083984,True,7200,800,1
0.1,10,100,38,TSCP_R,Gaussian,absolute_residual,0.9425,21565.925403416793,2.933876145075581,0.004014015197753906,True,7200,800,1
0.1,10,100,38,Point_CHR,Gaussian,absolute_residual,0.91125,20143.761998352617,3.3268928911143973,0.0,True,7200,800,1
0.1,10,100,38,Unscaled,Gaussian,absolute_residual,0.9225,16680.60494409622,2.6437548393259465,0.0009925365447998047,True,7200,800,1
0.1,10,100,38,Empirical_copula,Gaussian,absolute_residual,0.8625,9431.44903873628,2.9110744540948748,0.00099945068359375,True,7200,800,1
