alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,df,redraw_train_test,n_train,n_test
0.1,10,30,7,TSCP_R,t,absolute_residual,7,19.66355578722724,1.5,True,7200,800
0.1,10,30,7,TSCP_R,t,absolute_residual,8,59.032481245400696,1.5,True,7200,800
0.1,10,30,7,TSCP_R,t,absolute_residual,9,12.878781457750678,1.5,True,7200,800
0.1,10,30,7,TSCP_R,t,absolute_residual,10,22.027112545989326,1.5,True,7200,800
0.1,10,30,7,Point_CHR,t,absolute_residual,1,54.72070203240747,1.5,True,7200,800
0.1,10,30,7,Point_CHR,t,absolute_residual,2,19.155940563224878,1.5,True,7200,800
0.1,10,30,7,Point_CHR,t,absolute_residual,3,25.678749104870747,1.5,True,7200,800
0.1,10,30,7,Point_CHR,t,absolute_residual,4,24.070256452932902,1.5,True,7200,800
0.1,10,30,7,Point_CHR,t,absolute_residual,5,9.90462032008696,1.5,True,7200,800
0.1,10,30,7,Point_CHR,t,absolute_residual,6,28.40379598879619,1.5,True,7200,800
0.1,10,30,7,Point_CHR,t,absolute_residual,7,51.32827467476157,1.5,True,7200,800
0.1,10,30,7,Point_CHR,t,absolute_residual,8,162.78357954054837,1.5,True,7200,800
0.1,10,30,7,Point_CHR,t,absolute_residual,9,13.68069350138995,1.5,True,7200,800
0.1,10,30,7,Point_CHR,t,absolute_residual,10,28.506100610601234,1.5,True,7200,800
0.1,10,30,7,Empirical_copula,t,absolute_residual,1,14.265661598482478,1.5,True,7200,800
0.1,10,30,7,Empirical_copula,t,absolute_residual,2,4.993944805638072,1.5,True,7200,800
0.1,10,30,7,Empirical_copula,t,absolute_residual,3,25.678749104870747,1.5,True,7200,800
0.1,10,30,7,Empirical_copula,t,absolute_residual,4,6.275104675061913,1.5,True,7200,800
0.1,10,30,7,Empirical_copula,t,absolute_residual,5,7.963648032683359,1.5,True,7200,800
0.1,10,30,7,Empirical_copula,t,absolute_residual,6,7.404856418847254,1.5,True,7200,800
0.1,10,30,7,Empirical_copula,t,absolute_residual,7,13.381257362349888,1.5,True,7200,800
0.1,10,30,7,Empirical_copula,t,absolute_residual,8,42.4376035625388,1.5,True,7200,800
0.1,10,30,7,Empirical_copula,t,absolute_residual,9,6.249240875951294,1.5,True,7200,800
0.1,10,30,7,Empirical_copula,t,absolute_residual,10,10.06197806153029,1.5,True,7200,800
0.1,10,30,8,TSCP_R,t,absolute_residual,1,43.31104560010569,1.5,True,7200,800
0.1,10,30,8,TSCP_R,t,absolute_residual,2,35.98076689066023,1.5,True,7200,800
0.1,10,30,8,TSCP_R,t,absolute_residual,3,81.89943533901861,1.5,True,7200,800
0.1,10,30,8,TSCP_R,t,absolute_residual,4,26.663761646396537,1.5,True,7200,800
0.1,10,30,8,TSCP_R,t,absolute_residual,5,11.482455256401707,1.5,True,7200,800
0.1,10,30,8,TSCP_R,t,absolute_residual,6,37.008017278304145,1.5,True,7200,800
0.1,10,30,8,TSCP_R,t,absolute_residual,7,71.59106384198917,1.5,True,7200,800
0.1,10,30,8,TSCP_R,t,absolute_residual,8,35.80073206310093,1.5,True,7200,800
0.1,10,30,8,TSCP_R,t,absolute_residual,9,17.360516260247724,1.5,True,7200,800
0.1,10,30,8,TSCP_R,t,absolute_residual,10,162.88385070255111,1.5,True,7200,800
0.1,10,30,8,Point_CHR,t,absolute_residual,1,78.09086169762953,1.5,True,7200,800
0.1,10,30,8,Point_CHR,t,absolute_residual,2,227.7118979930832,1.5,True,7200,800
0.1,10,30,8,Point_CHR,t,absolute_residual,3,70.06044924003646,1.5,True,7200,800
0.1,10,30,8,Point_CHR,t,absolute_residual,4,176.5702188480481,1.5,True,7200,800
0.1,10,30,8,Point_CHR,t,absolute_residual,5,52.43532262470669,1.5,True,7200,800
0.1,10,30,8,Point_CHR,t,absolute_residual,6,271.0856201352388,1.5,True,7200,800
0.1,10,30,8,Point_CHR,t,absolute_residual,7,605.4437105490769,1.5,True,7200,800
0.1,10,30,8,Point_CHR,t,absolute_residual,8,124.0729602068657,1.5,True,7200,800
0.1,10,30,8,Point_CHR,t,absolute_residual,9,87.1029583747615,1.5,True,7200,800
0.1,10,30,8,Point_CHR,t,absolute_residual,10,67.75585907862016,1.5,True,7200,800
0.1,10,30,8,Empirical_copula,t,absolute_residual,1,17.022435378204662,1.5,True,7200,800
0.1,10,30,8,Empirical_copula,t,absolute_residual,2,10.968283845312213,1.5,True,7200,800
0.1,10,30,8,Empirical_copula,t,absolute_residual,3,32.36025216759199,1.5,True,7200,800
0.1,10,30,8,Empirical_copula,t,absolute_residual,4,8.504923528471556,1.5,True,7200,800
0.1,10,30,8,Empirical_copula,t,absolute_residual,5,2.839885365677704,1.5,True,7200,800
0.1,10,30,8,Empirical_copula,t,absolute_residual,6,13.057482082539662,1.5,True,7200,800
0.1,10,30,8,Empirical_copula,t,absolute_residual,7,29.162632818874645,1.5,True,7200,800
0.1,10,30,8,Empirical_copula,t,absolute_residual,8,14.089684598144752,1.5,True,7200,800
