alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,50,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,15.252892001369457,3.1196701871077015,14.717655046132847
0.1,10,50,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,11.926860105521582,2.4439367492867956,11.760181936854982
0.1,10,50,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,9.056397694625685,2.057977937324275,8.801697801484668
0.1,10,50,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,6.102221323039323,1.3956805651182373,5.95364513655354
0.1,10,50,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,3.0094879518628113,0.6848351474741934,2.8912864947361356
0.1,10,50,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,26.613586081398108,3.5397172458624153,26.24413993080055
0.1,10,50,TSCP_R,Gaussian,2,absolute_residual,True,7200,800,200,24.601469771154616,2.9360143394192293,24.48711580400839
0.1,10,50,TSCP_R,Gaussian,3,absolute_residual,True,7200,800,200,21.93200218575159,2.904134362037421,21.770278802670298
0.1,10,50,TSCP_R,Gaussian,4,absolute_residual,True,7200,800,200,18.947787759423417,2.194681637713113,19.016481319729877
0.1,10,50,TSCP_R,Gaussian,5,absolute_residual,True,7200,800,200,16.319621814025222,2.079596133310974,16.42855344734034
0.1,10,50,TSCP_R,Gaussian,6,absolute_residual,True,7200,800,200,13.796976410989757,1.7539955573321713,13.775948858166451
0.1,10,50,TSCP_R,Gaussian,7,absolute_residual,True,7200,800,200,10.831434444355516,1.3490848982690233,10.752461050505934
0.1,10,50,TSCP_R,Gaussian,8,absolute_residual,True,7200,800,200,8.18019694091081,1.000856323934038,8.117788240329226
0.1,10,50,TSCP_R,Gaussian,9,absolute_residual,True,7200,800,200,5.362625007134231,0.6881093045407356,5.295714638656408
0.1,10,50,TSCP_R,Gaussian,10,absolute_residual,True,7200,800,200,2.6995933519390127,0.3223550652323333,2.670859645380828
0.1,10,50,Unscaled,Gaussian,1,absolute_residual,True,7200,800,200,19.842071006933423,1.6391494563945426,19.758354702810443
0.1,10,50,Unscaled,Gaussian,2,absolute_residual,True,7200,800,200,19.842071006933423,1.6391494563945426,19.758354702810443
0.1,10,50,Unscaled,Gaussian,3,absolute_residual,True,7200,800,200,19.842071006933423,1.6391494563945426,19.758354702810443
0.1,10,50,Unscaled,Gaussian,4,absolute_residual,True,7200,800,200,19.842071006933423,1.6391494563945426,19.758354702810443
0.1,10,50,Unscaled,Gaussian,5,absolute_residual,True,7200,800,200,19.842071006933423,1.6391494563945426,19.758354702810443
0.1,10,50,Unscaled,Gaussian,6,absolute_residual,True,7200,800,200,19.842071006933423,1.6391494563945426,19.758354702810443
0.1,10,50,Unscaled,Gaussian,7,absolute_residual,True,7200,800,200,19.842071006933423,1.6391494563945426,19.758354702810443
0.1,10,50,Unscaled,Gaussian,8,absolute_residual,True,7200,800,200,19.842071006933423,1.6391494563945426,19.758354702810443
0.1,10,50,Unscaled,Gaussian,9,absolute_residual,True,7200,800,200,19.842071006933423,1.6391494563945426,19.758354702810443
0.1,10,50,Unscaled,Gaussian,10,absolute_residual,True,7200,800,200,19.842071006933423,1.6391494563945426,19.758354702810443
0.1,10,100,Empirical_copula,Gaussian,1,absolute_residual,True,7200,800,200,24.127014902442035,2.7535638409373675,24.041677404431773
0.1,10,100,Empirical_copula,Gaussian,2,absolute_residual,True,7200,800,200,21.901311522072515,2.563994016323485,21.788963091200635
0.1,10,100,Empirical_copula,Gaussian,3,absolute_residual,True,7200,800,200,19.443120807609688,2.3991996297635096,19.27454473822668
0.1,10,100,Empirical_copula,Gaussian,4,absolute_residual,True,7200,800,200,16.91780987787872,2.003913500697576,16.799936324092016
0.1,10,100,Empirical_copula,Gaussian,5,absolute_residual,True,7200,800,200,14.591365521661105,1.5644778505564076,14.456090668353005
0.1,10,100,Empirical_copula,Gaussian,6,absolute_residual,True,7200,800,200,12.245996729671779,1.356967623227953,12.11960686573952
0.1,10,100,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,9.64060914306306,1.1262514752551636,9.50388263319994
0.1,10,100,Empirical_copula,Gaussian,8,absolute_residual,True,7200,800,200,7.248993598163058,0.7969125727814802,7.219152713597005
0.1,10,100,Empirical_copula,Gaussian,9,absolute_residual,True,7200,800,200,4.7950866376397325,0.5489962913773724,4.774421796768231
0.1,10,100,Empirical_copula,Gaussian,10,absolute_residual,True,7200,800,200,2.4092573894262497,0.2844193434531829,2.399163855793507
0.1,10,100,Point_CHR,Gaussian,1,absolute_residual,True,7200,800,200,27.454882655329275,3.799053478159931,27.088921771205257
0.1,10,100,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,24.529021526396956,3.5334760125269793,24.083342767523725
0.1,10,100,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,22.25906893779769,2.9799772673238096,22.090407645832126
0.1,10,100,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,18.98294290159589,2.414373575993516,18.913872855978187
0.1,10,100,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,16.465586159718185,2.3522950526834463,16.196969930684887
0.1,10,100,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,13.712725829053616,1.7621073987429547,13.532428096770106
0.1,10,100,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,10.84252912910204,1.5049746997292193,10.730050863497965
0.1,10,100,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,8.053263568768198,1.022828980532107,7.915746923808232
0.1,10,100,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,5.419538753184961,0.7237145389282595,5.345602116133164
0.1,10,100,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,2.7327995845004676,0.3819571305945888,2.705497034134238
0.1,10,100,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,26.403766239325677,2.326736573477166,26.233387380354237
0.1,10,100,TSCP_R,Gaussian,2,absolute_residual,True,7200,800,200,23.95975395118787,2.0615578240033474,23.78897035405806
0.1,10,100,TSCP_R,Gaussian,3,absolute_residual,True,7200,800,200,21.268576588418796,1.8960742818811906,21.086723881082683
0.1,10,100,TSCP_R,Gaussian,4,absolute_residual,True,7200,800,200,18.41351550184406,1.531204538164912,18.281346447462315
0.1,10,100,TSCP_R,Gaussian,5,absolute_residual,True,7200,800,200,15.998611098115042,1.2686888831637544,15.944794741477239
0.1,10,100,TSCP_R,Gaussian,6,absolute_residual,True,7200,800,200,13.332835741511776,1.022423837342372,13.302465230588695
0.1,10,100,TSCP_R,Gaussian,7,absolute_residual,True,7200,800,200,10.54265083799467,0.9357374147636319,10.469911246320788
0.1,10,100,TSCP_R,Gaussian,8,absolute_residual,True,7200,800,200,7.932984317171955,0.5836602465972133,7.9449631102104235
0.1,10,100,TSCP_R,Gaussian,9,absolute_residual,True,7200,800,200,5.250415588210171,0.4006891796374575,5.224953123613998
0.1,10,100,TSCP_R,Gaussian,10,absolute_residual,True,7200,800,200,2.639811234741448,0.22314363014726932,2.6164460857710647
0.1,10,100,Unscaled,Gaussian,1,absolute_residual,True,7200,800,200,19.691081495314677,1.155863194720831,19.626234489077326
0.1,10,100,Unscaled,Gaussian,2,absolute_residual,True,7200,800,200,19.691081495314677,1.155863194720831,19.626234489077326
0.1,10,100,Unscaled,Gaussian,3,absolute_residual,True,7200,800,200,19.691081495314677,1.155863194720831,19.626234489077326
0.1,10,100,Unscaled,Gaussian,4,absolute_residual,True,7200,800,200,19.691081495314677,1.155863194720831,19.626234489077326
0.1,10,100,Unscaled,Gaussian,5,absolute_residual,True,7200,800,200,19.691081495314677,1.155863194720831,19.626234489077326
0.1,10,100,Unscaled,Gaussian,6,absolute_residual,True,7200,800,200,19.691081495314677,1.155863194720831,19.626234489077326
0.1,10,100,Unscaled,Gaussian,7,absolute_residual,True,7200,800,200,19.691081495314677,1.155863194720831,19.626234489077326
0.1,10,100,Unscaled,Gaussian,8,absolute_residual,True,7200,800,200,19.691081495314677,1.155863194720831,19.626234489077326
0.1,10,100,Unscaled,Gaussian,9,absolute_residual,True,7200,800,200,19.691081495314677,1.155863194720831,19.626234489077326
0.1,10,100,Unscaled,Gaussian,10,absolute_residual,True,7200,800,200,19.691081495314677,1.155863194720831,19.626234489077326
