alpha,n_dim,n_cal,method,noise_type,coordinate,correlation,correlation_structure,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.2,10,100,Point_CHR,Gaussian,4,0.6,equicorrelated,absolute_residual,True,7200,800,200,15.319668049539825,1.9695918497376963,15.244975244807543
0.2,10,100,Point_CHR,Gaussian,5,0.6,equicorrelated,absolute_residual,True,7200,800,200,13.157754149541484,1.557756640447474,13.189986867655835
0.2,10,100,Point_CHR,Gaussian,6,0.6,equicorrelated,absolute_residual,True,7200,800,200,10.856497491896278,1.5100242223510034,10.762032877788497
0.2,10,100,Point_CHR,Gaussian,7,0.6,equicorrelated,absolute_residual,True,7200,800,200,8.777507690530554,1.1977682173477244,8.729750213008748
0.2,10,100,Point_CHR,Gaussian,8,0.6,equicorrelated,absolute_residual,True,7200,800,200,6.593967790095319,0.8468500814484279,6.584317317729827
0.2,10,100,Point_CHR,Gaussian,9,0.6,equicorrelated,absolute_residual,True,7200,800,200,4.384492567771487,0.578033985015658,4.336493979675853
0.2,10,100,Point_CHR,Gaussian,10,0.6,equicorrelated,absolute_residual,True,7200,800,200,2.180713921859945,0.2568575727402614,2.168555851125279
0.2,10,100,TSCP_R,Gaussian,1,0.6,equicorrelated,absolute_residual,True,7200,800,200,21.264110353490313,1.6893878677144107,21.16335885490568
0.2,10,100,TSCP_R,Gaussian,2,0.6,equicorrelated,absolute_residual,True,7200,800,200,19.22889019026542,1.437771204732021,19.338419745467455
0.2,10,100,TSCP_R,Gaussian,3,0.6,equicorrelated,absolute_residual,True,7200,800,200,17.186037379117494,1.2626028769831132,17.030309937497698
0.2,10,100,TSCP_R,Gaussian,4,0.6,equicorrelated,absolute_residual,True,7200,800,200,14.939424688843651,1.1177549904810404,14.900740745261377
0.2,10,100,TSCP_R,Gaussian,5,0.6,equicorrelated,absolute_residual,True,7200,800,200,12.843504692095776,0.9865001691606718,12.7927285604593
0.2,10,100,TSCP_R,Gaussian,6,0.6,equicorrelated,absolute_residual,True,7200,800,200,10.66588481878057,0.880782082019226,10.647088094292009
0.2,10,100,TSCP_R,Gaussian,7,0.6,equicorrelated,absolute_residual,True,7200,800,200,8.52999624927567,0.6503623292760916,8.49951693722322
0.2,10,100,TSCP_R,Gaussian,8,0.6,equicorrelated,absolute_residual,True,7200,800,200,6.404172383791023,0.4541915014602157,6.435882118454405
0.2,10,100,TSCP_R,Gaussian,9,0.6,equicorrelated,absolute_residual,True,7200,800,200,4.28904597427285,0.3252970094975515,4.30179632475833
0.2,10,100,TSCP_R,Gaussian,10,0.6,equicorrelated,absolute_residual,True,7200,800,200,2.1349426343459346,0.16071621241326278,2.1423955985300793
0.2,10,100,Unscaled,Gaussian,1,0.6,equicorrelated,absolute_residual,True,7200,800,200,15.8587798348585,0.9800341895456263,15.867176661417655
0.2,10,100,Unscaled,Gaussian,2,0.6,equicorrelated,absolute_residual,True,7200,800,200,15.8587798348585,0.9800341895456263,15.867176661417655
0.2,10,100,Unscaled,Gaussian,3,0.6,equicorrelated,absolute_residual,True,7200,800,200,15.8587798348585,0.9800341895456263,15.867176661417655
0.2,10,100,Unscaled,Gaussian,4,0.6,equicorrelated,absolute_residual,True,7200,800,200,15.8587798348585,0.9800341895456263,15.867176661417655
0.2,10,100,Unscaled,Gaussian,5,0.6,equicorrelated,absolute_residual,True,7200,800,200,15.8587798348585,0.9800341895456263,15.867176661417655
0.2,10,100,Unscaled,Gaussian,6,0.6,equicorrelated,absolute_residual,True,7200,800,200,15.8587798348585,0.9800341895456263,15.867176661417655
0.2,10,100,Unscaled,Gaussian,7,0.6,equicorrelated,absolute_residual,True,7200,800,200,15.8587798348585,0.9800341895456263,15.867176661417655
0.2,10,100,Unscaled,Gaussian,8,0.6,equicorrelated,absolute_residual,True,7200,800,200,15.8587798348585,0.9800341895456263,15.867176661417655
0.2,10,100,Unscaled,Gaussian,9,0.6,equicorrelated,absolute_residual,True,7200,800,200,15.8587798348585,0.9800341895456263,15.867176661417655
0.2,10,100,Unscaled,Gaussian,10,0.6,equicorrelated,absolute_residual,True,7200,800,200,15.8587798348585,0.9800341895456263,15.867176661417655
