alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,redraw_train_test,n_train,n_test
0.1,2,30,45,Point_CHR,Gaussian,absolute_residual,0.8866666666666667,7.162136952401827,3.2492477936597486,0.0,True,2400,600
0.1,2,30,45,Unscaled,Gaussian,absolute_residual,0.9183333333333333,11.886197597960718,3.4476365234694795,0.0,True,2400,600
0.1,2,30,46,TSCP_R,Gaussian,absolute_residual,0.8083333333333333,4.969205568399633,3.338521086662424,0.0010118484497070312,True,2400,600
0.1,2,30,46,Point_CHR,Gaussian,absolute_residual,0.8533333333333334,5.853553396316973,3.6699054869542236,0.0,True,2400,600
0.1,2,30,46,Unscaled,Gaussian,absolute_residual,0.88,9.62656169333851,3.102670090960125,0.0,True,2400,600
0.1,2,30,47,TSCP_R,Gaussian,absolute_residual,0.9366666666666666,9.393579820493168,4.849659799540733,0.0,True,2400,600
0.1,2,30,47,Point_CHR,Gaussian,absolute_residual,0.9816666666666667,16.174288427603724,6.444524810203921,0.0010066032409667969,True,2400,600
0.1,2,30,47,Unscaled,Gaussian,absolute_residual,0.9616666666666667,18.26805579057203,4.274114620663797,0.0,True,2400,600
0.1,2,30,48,TSCP_R,Gaussian,absolute_residual,0.9116666666666666,9.15931316616967,5.017288747997345,0.0010073184967041016,True,2400,600
0.1,2,30,48,Point_CHR,Gaussian,absolute_residual,0.8766666666666667,10.288286155377403,6.40444945718907,0.0,True,2400,600
0.1,2,30,48,Unscaled,Gaussian,absolute_residual,0.98,23.823544113666618,4.88093680697329,0.0,True,2400,600
0.1,2,30,49,TSCP_R,Gaussian,absolute_residual,0.7833333333333333,5.557798985822106,2.931679910690506,0.0010025501251220703,True,2400,600
0.1,2,30,49,Point_CHR,Gaussian,absolute_residual,0.8066666666666666,6.341919846421856,2.8579147598749555,0.0,True,2400,600
0.1,2,30,49,Unscaled,Gaussian,absolute_residual,0.7633333333333333,5.714807761923715,2.3905664102726187,0.0,True,2400,600
0.1,2,30,50,TSCP_R,Gaussian,absolute_residual,0.785,5.523309594093262,4.286778321883534,0.0010023117065429688,True,2400,600
0.1,2,30,50,Point_CHR,Gaussian,absolute_residual,0.8333333333333334,7.39248641650201,5.2788393585770645,0.0,True,2400,600
