alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,4,18.819665592830585,True,7200,800
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,5,14.484638297659274,True,7200,800
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,6,10.122824532029652,True,7200,800
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,7,7.537580691772993,True,7200,800
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,8,5.768750920894714,True,7200,800
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,9,3.8331325837332706,True,7200,800
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,10,2.3653222325980394,True,7200,800
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,1,36.435923316746035,True,7200,800
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,2,28.737219168290387,True,7200,800
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,3,23.6955365129549,True,7200,800
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,4,19.238250697697723,True,7200,800
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,5,12.307256991075938,True,7200,800
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,6,15.574775998419991,True,7200,800
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,7,20.185719814433437,True,7200,800
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,8,12.013621060393152,True,7200,800
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,9,8.637977816763112,True,7200,800
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,10,4.279985829729384,True,7200,800
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,1,inf,True,7200,800
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,2,inf,True,7200,800
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,3,inf,True,7200,800
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,4,inf,True,7200,800
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,5,inf,True,7200,800
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,6,inf,True,7200,800
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,7,inf,True,7200,800
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,8,inf,True,7200,800
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,9,inf,True,7200,800
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,10,inf,True,7200,800
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,1,19.57057456600268,True,7200,800
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,2,19.57057456600268,True,7200,800
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,3,19.57057456600268,True,7200,800
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,4,19.57057456600268,True,7200,800
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,5,19.57057456600268,True,7200,800
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,6,19.57057456600268,True,7200,800
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,7,19.57057456600268,True,7200,800
