alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure,redraw_train_test,n_train,n_test
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,1,19.799566125990157,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,2,19.799566125990157,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,3,19.799566125990157,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,4,19.799566125990157,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,5,19.799566125990157,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,6,19.799566125990157,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,7,19.799566125990157,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,8,19.799566125990157,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,9,19.799566125990157,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,10,19.799566125990157,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,1,25.2431154156645,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,2,21.0447071720484,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,3,19.79956612590788,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,4,16.6313778989501,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,5,12.22551107981047,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,6,9.35349577948605,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,7,7.55931590588995,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,8,6.149282431541767,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,9,4.809988166447438,0.0,equicorrelated,True,7200,800
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,10,2.2299885586042563,0.0,equicorrelated,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,1,33.456248000214885,0.0,equicorrelated,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,2,34.77479791936185,0.0,equicorrelated,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,3,26.74675836233888,0.0,equicorrelated,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,4,30.89897225201113,0.0,equicorrelated,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,5,16.52486517271011,0.0,equicorrelated,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,6,14.774140894075106,0.0,equicorrelated,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,7,11.761565366305081,0.0,equicorrelated,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,8,9.499630413819249,0.0,equicorrelated,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,9,8.352670320079026,0.0,equicorrelated,True,7200,800
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,10,3.8877583368857147,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,1,32.42095555260099,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,2,47.541462176708414,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,3,20.677551729669013,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,4,49.40946140234057,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,5,21.570525795033625,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,6,15.80851704296725,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,7,15.81293391255867,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,8,10.157753847625294,0.0,equicorrelated,True,7200,800
