dataset,trial,n_cal,n_test,n_dim,method,covered_count,joint_coverage,residual_volume,infinite_region
stock,46,15,64,6,TSCP_R,62,0.96875,3.912795520190253e-05,0
stock,47,15,64,6,Empirical_copula,34,0.53125,3.3921629082313395e-06,0
stock,47,15,64,6,Unscaled,53,0.828125,0.0007739402329502475,0
stock,47,15,64,6,Point_CHR,64,1.0,inf,1
stock,47,15,64,6,TSCP_R,61,0.953125,0.00016993625561625893,0
stock,48,15,64,6,Empirical_copula,51,0.796875,9.396597136951163e-06,0
stock,48,15,64,6,Unscaled,61,0.953125,0.005276965802119997,0
stock,48,15,64,6,Point_CHR,64,1.0,inf,1
stock,48,15,64,6,TSCP_R,63,0.984375,0.00029511392951965017,0
stock,49,15,64,6,Empirical_copula,49,0.765625,5.22643129672045e-06,0
stock,49,15,64,6,Unscaled,58,0.90625,0.0008993971489821534,0
stock,49,15,64,6,Point_CHR,64,1.0,inf,1
stock,49,15,64,6,TSCP_R,61,0.953125,3.940594025554008e-05,0
stock,50,15,64,6,Empirical_copula,50,0.78125,5.927522283926905e-06,0
stock,50,15,64,6,Unscaled,57,0.890625,0.0008978976052947343,0
stock,50,15,64,6,Point_CHR,64,1.0,inf,1
stock,50,15,64,6,TSCP_R,62,0.96875,4.4879828198172784e-05,0
stock,51,15,64,6,Empirical_copula,49,0.765625,7.70104879612251e-06,0
stock,51,15,64,6,Unscaled,60,0.9375,0.005191781881375579,0
stock,51,15,64,6,Point_CHR,64,1.0,inf,1
stock,51,15,64,6,TSCP_R,58,0.90625,1.996382243443479e-05,0
stock,52,15,64,6,Empirical_copula,49,0.765625,5.6534051913795655e-06,0
stock,52,15,64,6,Unscaled,60,0.9375,0.0011797062033173506,0
stock,52,15,64,6,Point_CHR,64,1.0,inf,1
stock,52,15,64,6,TSCP_R,60,0.9375,2.3996953766257645e-05,0
stock,53,15,64,6,Empirical_copula,50,0.78125,5.9619097621109775e-06,0
stock,53,15,64,6,Unscaled,59,0.921875,0.0012326965441325965,0
stock,53,15,64,6,Point_CHR,64,1.0,inf,1
stock,53,15,64,6,TSCP_R,62,0.96875,3.200922367914618e-05,0
stock,54,15,64,6,Empirical_copula,44,0.6875,5.870869809839744e-06,0
stock,54,15,64,6,Unscaled,57,0.890625,0.0015880757791638265,0
stock,54,15,64,6,Point_CHR,64,1.0,inf,1
stock,54,15,64,6,TSCP_R,60,0.9375,5.105914610120352e-05,0
stock,55,15,64,6,Empirical_copula,47,0.734375,4.17404757371735e-06,0
