alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime,redraw_train_test,n_train,n_test
0.1,3,100,17,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9166666666666666,35937.867904539606,34.31179981527364,,0.0,True,2400,600
0.1,3,100,17,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.9016666666666666,25011.705233646346,35.57343840740894,,0.0009942054748535156,True,2400,600
0.1,3,100,18,CQHR,Gaussian,cqr,native,0.5,0.0,0.8616666666666667,13883884.166519184,118.10550425159897,17.61969705822796,0.0,True,2400,600
0.1,3,100,18,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.9233333333333333,30115.45709863935,38.718699898473055,,0.0009999275207519531,True,2400,600
0.1,3,100,18,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.9233333333333333,30115.45709863935,38.718699898473055,,0.0,True,2400,600
0.1,3,100,18,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8666666666666667,27802.05302118808,31.984189385061534,,0.0,True,2400,600
0.1,3,100,18,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.905,29084.83359346239,42.518545166120965,,0.0,True,2400,600
0.1,3,100,19,CQHR,Gaussian,cqr,native,0.5,0.0,0.905,3469493.8196802232,101.2378069214979,20.083863188123157,0.0,True,2400,600
0.1,3,100,19,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.9416666666666667,38710.56324793323,41.60045168057497,,0.0009989738464355469,True,2400,600
0.1,3,100,19,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.9416666666666667,38710.56324793323,41.60045168057497,,0.0,True,2400,600
0.1,3,100,19,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9233333333333333,39880.78858644622,35.59626539019236,,0.0,True,2400,600
0.1,3,100,19,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.93,35675.77165150714,42.41902480037425,,0.00099945068359375,True,2400,600
0.1,3,100,20,CQHR,Gaussian,cqr,native,0.5,0.0,0.9,2960496.566181021,84.20645843693083,17.33165032705476,0.0,True,2400,600
