alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,coordinate,coordinate_base_length,coordinate_adjustment,coordinate_length
0.1,3,30,72,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.397876638391661,2.7999979397794363,8.99787251795053
0.1,3,30,73,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.544683175078384,7.972948419451239,20.49058001398076
0.1,3,30,73,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.296442087139403,19.382165437374663,43.06077296188871
0.1,3,30,73,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.376001632041206,20.986735728836173,45.34947308971353
0.1,3,30,73,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.544683175078384,7.444648530460686,19.433980235999762
0.1,3,30,73,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.296442087139403,5.909847313353975,16.116136713847343
0.1,3,30,73,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.376001632041206,2.851403175378908,9.078807982799031
0.1,3,30,73,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.544683175078384,4.745841093482182,14.036365362042755
0.1,3,30,73,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.296442087139403,4.745841093482182,13.78812427410376
0.1,3,30,73,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.376001632041206,4.745841093482182,12.86768381900557
0.1,3,30,73,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.544683175078384,3.5817056697691356,11.708094514616665
0.1,3,30,73,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.296442087139403,4.745841093419016,13.788124273977438
0.1,3,30,73,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.376001632041206,2.8020027985542733,8.980007229149745
0.1,3,30,74,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.777731773686562,8.329177110648669,21.436085994983767
0.1,3,30,74,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.347833705405326,11.600609688756332,27.54905308291802
0.1,3,30,74,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.4753408185338057,9.136603890212163,21.74854859895814
0.1,3,30,74,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.777731773686562,4.265767898475617,13.309267570637815
0.1,3,30,74,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.347833705405326,3.8237842565903293,11.995402218585983
0.1,3,30,74,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.4753408185338057,1.4323875274170033,6.340115873367813
0.1,3,30,74,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.777731773686562,3.5865735152615708,11.950878804209717
0.1,3,30,74,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.347833705405326,3.5865735152615708,11.520980735928472
0.1,3,30,74,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.4753408185338057,3.5865735152615708,10.648487849056949
0.1,3,30,74,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.777731773686562,3.5865735151829643,11.950878804052483
0.1,3,30,74,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.347833705405326,3.3492761319383924,11.046385969282111
0.1,3,30,74,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.4753408185338057,1.3590763157630423,6.19349345005989
0.1,3,30,75,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.905558895222428,10.415998742377509,25.737556379977594
0.1,3,30,75,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.384423325625799,25.068517169607535,54.521457664840916
0.1,3,30,75,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.655114348278926,12.765265283774262,29.18564491582748
0.1,3,30,75,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.905558895222428,7.067795189483068,19.041149274188562
0.1,3,30,75,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.384423325625799,4.240141979462477,12.864707284550748
0.1,3,30,75,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.655114348278926,8.600189552578556,20.855493453436043
0.1,3,30,75,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.905558895222428,6.220499387561975,17.34655767034638
0.1,3,30,75,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.384423325625799,6.220499387561975,16.825422100749737
0.1,3,30,75,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.655114348278926,6.220499387561975,16.096113123402866
0.1,3,30,75,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.905558895222428,5.24899540624039,15.403549707703208
0.1,3,30,75,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.384423325625799,2.8780457838145144,10.140514893254835
0.1,3,30,75,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.655114348278926,6.220499387498808,16.09611312327654
0.1,3,30,76,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.550411095805473,9.99395915234916,24.538329400503937
0.1,3,30,76,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.152597427847728,13.36585968503821,30.884316797924104
0.1,3,30,76,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.4003585706519917,10.376244652470891,24.152847875593775
0.1,3,30,76,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.550411095805473,3.6167310116781852,11.783873119161845
0.1,3,30,76,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.152597427847728,4.8435183559100405,13.839634139667794
0.1,3,30,76,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.4003585706519917,2.638515862648989,8.677390295949962
0.1,3,30,76,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.550411095805473,3.5647316020302737,11.679874299866023
0.1,3,30,76,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.152597427847728,3.5647316020302737,11.28206063190827
0.1,3,30,76,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.4003585706519917,3.5647316020302737,10.529821774712538
0.1,3,30,76,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.550411095805473,3.2321635779092492,11.014738251623982
0.1,3,30,76,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.152597427847728,3.842776097681984,11.838149623211677
0.1,3,30,76,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.4003585706519917,2.079811731985732,7.559982034623465
0.1,3,30,77,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.64642611221962,8.118052899111719,20.882531910443063
0.1,3,30,77,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.326571628870557,13.35738660600053,31.041344840871588
0.1,3,30,77,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.421277069444649,8.229775302352381,19.880827674149423
0.1,3,30,77,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.64642611221962,7.425888380189736,19.4982028725991
0.1,3,30,77,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.326571628870557,5.629351837555107,15.585275303980763
0.1,3,30,77,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.421277069444649,3.0936287728413783,9.608534615127404
0.1,3,30,77,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.64642611221962,5.322714126701949,15.291854365623506
0.1,3,30,77,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.326571628870557,5.322714126701949,14.971999882274433
0.1,3,30,77,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.421277069444649,5.322714126701949,14.06670532284855
0.1,3,30,77,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.64642611221962,4.958941673134795,14.564309458489209
0.1,3,30,77,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.326571628870557,5.537276706665093,15.401125042200745
0.1,3,30,77,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.421277069444649,2.4075137662827046,8.23630460201005
0.1,3,30,78,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.7846200478133625,18.10899174165556,41.002603531124215
0.1,3,30,78,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.457588676185591,22.776803454922078,50.01119558602971
0.1,3,30,78,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.6236712077735276,17.65942493790874,38.94252108359103
0.1,3,30,78,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.7846200478133625,4.50018642294695,13.784992893707264
0.1,3,30,78,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.457588676185591,5.080706297179177,14.619001270543952
0.1,3,30,78,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.6236712077735276,4.36927599176423,12.362223191301997
0.1,3,30,78,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.7846200478133625,4.406879887928693,13.598379823670752
0.1,3,30,78,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.457588676185591,4.406879887928693,13.271348452042973
0.1,3,30,78,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.6236712077735276,4.406879887928693,12.437430983630925
0.1,3,30,78,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.7846200478133625,4.406879887858956,13.598379823531271
0.1,3,30,78,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.457588676185591,4.25464742622591,12.966883528637412
0.1,3,30,78,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.6236712077735276,4.820844450872638,13.265360109518817
0.1,3,30,79,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.709543110645883,24.12250659454224,52.954556299730626
0.1,3,30,79,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.063115205142277,30.66575309475676,65.3946213946558
0.1,3,30,79,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.2481087921512186,21.986083846460062,47.22027648507135
0.1,3,30,79,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.709543110645883,4.478789231979582,13.667121574605035
0.1,3,30,79,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.063115205142277,5.62053977225254,15.304194749647365
0.1,3,30,79,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.2481087921512186,2.07545372592394,7.399016243999103
0.1,3,30,79,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.709543110645883,4.00483625286117,12.719215616368214
0.1,3,30,79,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.063115205142277,4.00483625286117,12.072787710864636
0.1,3,30,79,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.2481087921512186,4.00483625286117,11.257781297873548
0.1,3,30,79,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.709543110645883,4.004836252825718,12.719215616297308
0.1,3,30,79,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.063115205142277,3.965097195948929,11.993309597040133
0.1,3,30,79,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.2481087921512186,1.5572234377573726,6.362555667665961
0.1,3,30,80,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.889115948117527,18.159134584107278,41.20738511633165
0.1,3,30,80,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.277399272402644,30.118253674912605,64.51390662222778
0.1,3,30,80,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.5702221541911583,26.69581111513001,56.96184438445119
0.1,3,30,80,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.889115948117527,10.729211645428856,26.347539238975262
0.1,3,30,80,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.277399272402644,7.428597031603737,19.134593335610127
0.1,3,30,80,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.5702221541911583,3.1304323829763034,9.831086920143779
0.1,3,30,80,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.889115948117527,7.356447729181521,19.60201140648057
