alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime
0.1,3,100,29,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.89,2851.33262691653,14.308069349645187,,0.0
0.1,3,100,29,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.805,1145.037039636218,15.041300582024505,,0.0010006427764892578
0.1,3,100,30,CQHR,Gaussian,cqr,native,0.9,0.0,0.8916666666666667,172777246.59191316,309.9856665731265,32.327341381609024,0.0
0.1,3,100,30,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9,2667.462343888404,16.289612636376344,,0.00146484375
0.1,3,100,30,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9133333333333333,3248.0679641923284,14.944563101750765,,0.0
0.1,3,100,30,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8916666666666667,2400.915215714778,15.255290512307566,,0.0
0.1,3,100,31,CQHR,Gaussian,cqr,native,0.9,0.0,0.9333333333333333,111174454.88381405,307.21869961233404,34.76531511310768,0.0
0.1,3,100,31,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9066666666666666,3456.751823816079,17.09285258214627,,0.001993894577026367
0.1,3,100,31,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8533333333333334,2661.1191026925508,13.960555388404845,,0.0
0.1,3,100,31,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8666666666666667,2484.490446997262,14.531249228646875,,0.0010104179382324219
0.1,3,100,32,CQHR,Gaussian,cqr,native,0.9,0.0,0.915,30012661.39092144,270.89072520856286,30.713508657679228,0.0
0.1,3,100,32,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9083333333333333,3056.2378309835153,17.723393319298236,,0.0010063648223876953
0.1,3,100,32,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9016666666666666,3444.7426899695015,15.205049720983052,,0.0
0.1,3,100,32,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8816666666666667,2314.7917305401093,15.51569634250096,,0.0010001659393310547
0.1,3,100,33,CQHR,Gaussian,cqr,native,0.9,0.0,0.9566666666666667,132669710.5734728,366.4883426127829,55.047970663493174,0.0
0.1,3,100,33,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9633333333333334,4968.75862257836,19.4220831876305,,0.0010061264038085938
0.1,3,100,33,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.945,4409.00896915447,16.554754361846186,,0.0
0.1,3,100,33,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.945,4384.507388680438,19.37604939735504,,0.0009996891021728516
0.1,3,100,34,CQHR,Gaussian,cqr,native,0.9,0.0,0.8983333333333333,3668654.0067696,114.91642350231807,23.509523399780875,0.0
0.1,3,100,34,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.955,3403.8737028255596,17.240884986890514,,0.000993490219116211
0.1,3,100,34,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9516666666666667,4065.563249783988,16.056486812781593,,0.0
0.1,3,100,34,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.935,2670.9906775659592,16.056486812667853,,0.001999378204345703
0.1,3,100,35,CQHR,Gaussian,cqr,native,0.9,0.0,0.9366666666666666,215342761.36286423,365.74476415530336,34.192127489176066,0.0
0.1,3,100,35,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9033333333333333,2519.046727051055,15.120675090108422,,0.0010094642639160156
0.1,3,100,35,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9083333333333333,2893.4195564464753,14.36840838887281,,0.0
0.1,3,100,35,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.905,2812.276430348508,14.264127075472079,,0.0009996891021728516
0.1,3,100,36,CQHR,Gaussian,cqr,native,0.9,0.0,0.9316666666666666,27257241.21618449,238.59398000921666,27.902106337666883,0.0
0.1,3,100,36,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.915,2577.9932013407793,15.268813330428193,,0.0009996891021728516
0.1,3,100,36,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9083333333333333,2845.730543001188,14.235700296314487,,0.0
0.1,3,100,36,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.9083333333333333,2479.3239992022445,14.595855262720027,,0.001001596450805664
0.1,3,100,37,CQHR,Gaussian,cqr,native,0.9,0.0,0.845,188247793.10658342,201.75997844372336,15.851494866129574,0.0
0.1,3,100,37,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8633333333333333,1868.6247826689203,14.427354070240924,,0.0
0.1,3,100,37,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8616666666666667,2271.877721692182,13.296612452006302,,0.0
0.1,3,100,37,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8333333333333334,1600.0154449095537,13.296612451918854,,0.0
0.1,3,100,38,CQHR,Gaussian,cqr,native,0.9,0.0,0.8883333333333333,677655221.9955881,559.8347799632784,22.33334211047627,0.0
0.1,3,100,38,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8933333333333333,2517.7676460576336,15.434801931619765,,0.0010020732879638672
0.1,3,100,38,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9166666666666666,3412.9229858947665,15.113426782031768,,0.0
0.1,3,100,38,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.88,2358.9194880661844,15.91040929202161,,0.0
0.1,3,100,39,CQHR,Gaussian,cqr,native,0.9,0.0,0.87,64295707.61593653,218.51015827697867,22.66761529982888,0.0
