figure,source,setting,target,coverage_mean,coverage_1std,n_trials,redraw_train_test,n_train,n_test,one_sd_low,one_sd_high,target_within_one_sd,naive_standard_error,naive_ci95_low,naive_ci95_high
fig_app_shape_template_baseline,reviewer_update\data\shape_template_standard_summary.csv,n_cal=100,0.9,0.9055,0.029659969735551,100,True,2400.0,600.0,0.875840030264449,0.9351599697355509,True,0.0029659969735551,0.899686645931832,0.9113133540681679
fig_app_shape_template_baseline,reviewer_update\data\shape_template_standard_summary.csv,n_cal=200,0.9,0.9045,0.023736890173454,100,True,2400.0,600.0,0.8807631098265459,0.928236890173454,True,0.0023736890173454003,0.899847569526003,0.909152430473997
fig_app_heavy_tail_stress,reviewer_update\data\heavy_tail_stress_summary.csv,"n_cal=30, df=1.5",0.9,0.9086875,0.0598945301547838,200,True,7200.0,800.0,0.8487929698452161,0.9685820301547838,True,0.004235182842842978,0.9003865416280278,0.9169884583719722
fig_app_heavy_tail_stress,reviewer_update\data\heavy_tail_stress_summary.csv,"n_cal=500, df=1.5",0.9,0.897625,0.0173241342681446,200,True,7200.0,800.0,0.8803008657318554,0.9149491342681446,True,0.0012250012819191294,0.8952239974874385,0.9000260025125615
fig_app_heavy_tail_stress,reviewer_update\data\heavy_tail_stress_summary.csv,"n_cal=30, df=2.0",0.9,0.9079875,0.0563887582237816,200,True,7200.0,800.0,0.8515987417762183,0.9643762582237816,True,0.0039872873322724664,0.9001724168287459,0.915802583171254
fig_app_heavy_tail_stress,reviewer_update\data\heavy_tail_stress_summary.csv,"n_cal=500, df=2.0",0.9,0.90058125,0.0164547296109766,200,True,7200.0,800.0,0.8841265203890234,0.9170359796109766,True,0.0011635250890512634,0.8983007408254595,0.9028617591745405
fig_app_heavy_tail_stress,reviewer_update\data\heavy_tail_stress_summary.csv,"n_cal=30, df=3.0",0.9,0.91184375,0.0508600555415144,200,True,7200.0,800.0,0.8609836944584855,0.9627038055415144,True,0.0035963490164929272,0.9047949059276739,0.918892594072326
fig_app_heavy_tail_stress,reviewer_update\data\heavy_tail_stress_summary.csv,"n_cal=500, df=3.0",0.9,0.90034375,0.0172628118160536,200,True,7200.0,800.0,0.8830809381839464,0.9176065618160536,True,0.001220665129747876,0.8979512463456941,0.9027362536543059
tab_real_data,real_exps\stock.csv,dataset=stock,0.9,0.9559375,0.0588765943355486,200,,,,0.8970609056644514,1.0148140943355486,True,0.004163203910783588,0.9477776203348641,0.9640973796651359
tab_real_data,real_exps\rf2.csv,dataset=rf2,0.9,0.9014029947916664,0.0166188507817932,200,,,,0.8847841440098733,0.9180218455734596,True,0.001175130208333333,0.8990997395833331,0.9037062499999997
tab_real_data,real_exps\scm1d.csv,dataset=scm1d,0.9,0.901473737888832,0.0151854561104038,200,,,,0.8862882817784282,0.9166591939992358,True,0.0010737738991077222,0.8993691410465808,0.9035783347310832
tab_real_data,real_exps\scm20d.csv,dataset=scm20d,0.9,0.9011120401337792,0.0158572894609541,200,,,,0.8852547506728251,0.9169693295947333,True,0.0011212796909078617,0.8989143319395998,0.9033097483279586
tab_real_data,real_exps\energy.csv,dataset=energy,0.9,0.9224675324675324,0.0476090398237348,200,,,,0.8748584926437977,0.9700765722912672,True,0.003366467490514327,0.9158692561861244,0.9290658087489405
tab_real_data,real_exps\student.csv,dataset=student,0.9,0.9121374045801528,0.0562567232281072,200,,,,0.8558806813520456,0.96839412780826,True,0.003977951048192936,0.9043406205256946,0.919934188634611
