alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,redraw_train_test,n_train,n_test
0.1,10,10,38,TSCP_R,Gaussian,absolute_residual,0.81625,179458823435.65765,39.1100427376146,0.0019991397857666016,True,7200,800
0.1,10,10,38,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,38,Unscaled,Gaussian,absolute_residual,0.96875,61597523020772.36,23.930750829300464,0.0,True,7200,800
0.1,10,10,38,Empirical_copula,Gaussian,absolute_residual,0.34875,1109254472.6553555,23.930750829256578,0.0010018348693847656,True,7200,800
0.1,10,10,39,TSCP_R,Gaussian,absolute_residual,0.895,658227612395.301,36.63077925392993,0.0010068416595458984,True,7200,800
0.1,10,10,39,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0009999275207519531,True,7200,800
0.1,10,10,39,Unscaled,Gaussian,absolute_residual,0.92375,14385954756899.326,20.69159022179298,0.0,True,7200,800
0.1,10,10,39,Empirical_copula,Gaussian,absolute_residual,0.5325,5505086986.139168,20.69159022171437,0.0,True,7200,800
0.1,10,10,40,TSCP_R,Gaussian,absolute_residual,0.98875,3476514772886.9893,43.77954035120509,0.0020062923431396484,True,7200,800
0.1,10,10,40,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,40,Unscaled,Gaussian,absolute_residual,0.91875,11749291924233.955,20.276881795719664,0.0,True,7200,800
0.1,10,10,40,Empirical_copula,Gaussian,absolute_residual,0.39125,1208780888.599583,20.276881795641057,0.0009930133819580078,True,7200,800
0.1,10,10,41,TSCP_R,Gaussian,absolute_residual,1.0,71742232364317.11,62.57401182530086,0.001001119613647461,True,7200,800
0.1,10,10,41,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0009984970092773438,True,7200,800
0.1,10,10,41,Unscaled,Gaussian,absolute_residual,0.97375,65103492820664.8,24.06359052850753,0.0,True,7200,800
0.1,10,10,41,Empirical_copula,Gaussian,absolute_residual,0.425,1868222775.839453,24.06359052849811,0.0,True,7200,800
0.1,10,10,42,TSCP_R,Gaussian,absolute_residual,0.8875,836054623712.2822,35.38086368977678,0.002007007598876953,True,7200,800
0.1,10,10,42,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,42,Unscaled,Gaussian,absolute_residual,0.91375,12898538129632.768,20.466993384283196,0.0,True,7200,800
0.1,10,10,42,Empirical_copula,Gaussian,absolute_residual,0.34625,1629811543.5436223,20.466993384197337,0.0009996891021728516,True,7200,800
0.1,10,10,43,TSCP_R,Gaussian,absolute_residual,0.99875,12981175364843.246,43.7933374651594,0.0020117759704589844,True,7200,800
0.1,10,10,43,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.000989675521850586,True,7200,800
0.1,10,10,43,Unscaled,Gaussian,absolute_residual,0.98125,60967181471610.0,23.90614843784286,0.0,True,7200,800
0.1,10,10,43,Empirical_copula,Gaussian,absolute_residual,0.58375,7116301866.888017,23.90614843783344,0.0,True,7200,800
0.1,10,10,44,TSCP_R,Gaussian,absolute_residual,1.0,42212474563910.9,70.77042956653112,0.002000570297241211,True,7200,800
0.1,10,10,44,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,44,Unscaled,Gaussian,absolute_residual,0.9875,219703910959491.06,27.175890176410437,0.0,True,7200,800
0.1,10,10,44,Empirical_copula,Gaussian,absolute_residual,0.41125,2387626604.1146483,27.17589017633304,0.0010018348693847656,True,7200,800
0.1,10,10,45,TSCP_R,Gaussian,absolute_residual,1.0,7281207858409.124,52.12109487271177,0.002002239227294922,True,7200,800
0.1,10,10,45,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,45,Unscaled,Gaussian,absolute_residual,0.98,95790490687820.95,25.011068162274515,0.0,True,7200,800
0.1,10,10,45,Empirical_copula,Gaussian,absolute_residual,0.4625,2509326435.8656483,25.011068162261704,0.0,True,7200,800
0.1,10,10,46,TSCP_R,Gaussian,absolute_residual,0.92,1390461412646.818,40.35713536568597,0.0010061264038085938,True,7200,800
0.1,10,10,46,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0010004043579101562,True,7200,800
0.1,10,10,46,Unscaled,Gaussian,absolute_residual,0.95125,23035230615371.133,21.68898640096213,0.0,True,7200,800
0.1,10,10,46,Empirical_copula,Gaussian,absolute_residual,0.40875,2426671654.148294,21.688986400883522,0.0,True,7200,800
0.1,10,10,47,TSCP_R,Gaussian,absolute_residual,0.93375,294555694407.8274,46.641037525357426,0.0020101070404052734,True,7200,800
0.1,10,10,47,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,47,Unscaled,Gaussian,absolute_residual,0.98,130851872632724.97,25.80346294537735,0.0,True,7200,800
0.1,10,10,47,Empirical_copula,Gaussian,absolute_residual,0.36625,979005256.58326,25.803462945299955,0.0,True,7200,800
0.1,10,10,48,TSCP_R,Gaussian,absolute_residual,0.9575,18118713134006.48,50.78629509540639,0.001007080078125,True,7200,800
0.1,10,10,48,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.00099945068359375,True,7200,800
0.1,10,10,48,Unscaled,Gaussian,absolute_residual,0.925,12342505696654.49,20.377004137426358,0.0,True,7200,800
0.1,10,10,48,Empirical_copula,Gaussian,absolute_residual,0.34875,2091881785.4068146,20.377004137350244,0.0,True,7200,800
0.1,10,10,49,TSCP_R,Gaussian,absolute_residual,0.73125,17560026975.890953,25.790274393561987,0.002003908157348633,True,7200,800
