alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime,redraw_train_test,n_train,n_test
0.1,3,50,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9666666666666667,47354.217005024926,37.55983804639906,,0.0,True,2400,600
0.1,3,50,1,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.95,33873.35967349748,38.91977029301375,,0.0,True,2400,600
0.1,3,50,2,CQHR,Gaussian,cqr,native,0.5,0.0,0.89,547289.7723146572,78.7314573610573,17.492414645369145,0.0,True,2400,600
0.1,3,50,2,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8616666666666667,19611.684258869383,34.002121993568814,,0.00099945068359375,True,2400,600
0.1,3,50,2,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.865,25076.90405242465,30.865964281856318,,0.0,True,2400,600
0.1,3,50,2,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8283333333333334,17526.049989639476,33.80469814935311,,0.0,True,2400,600
0.1,3,50,3,CQHR,Gaussian,cqr,native,0.5,0.0,0.925,1173349.9411791787,84.79526670193135,25.0651492164614,0.0,True,2400,600
0.1,3,50,3,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.83,20029.01271740998,33.456193490916206,,0.0,True,2400,600
0.1,3,50,3,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.865,27164.72959874652,31.28425419790765,,0.0,True,2400,600
0.1,3,50,3,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8116666666666666,17232.253040550768,31.20178854080792,,0.0,True,2400,600
0.1,3,50,4,CQHR,Gaussian,cqr,native,0.5,0.0,0.835,295933.24501967157,62.560239081687406,13.855484549123052,0.0,True,2400,600
0.1,3,50,4,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.925,28633.838095512143,42.99002011543253,,0.0010008811950683594,True,2400,600
0.1,3,50,4,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8766666666666667,30287.285977658146,32.76590113680219,,0.0,True,2400,600
0.1,3,50,4,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.905,24719.134913361184,37.433116234273264,,0.0010058879852294922,True,2400,600
