alpha,n_dim,n_cal,method,noise_type,coordinate,df,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,30,Point_CHR,t,10,3.0,absolute_residual,True,7200,800,200,13.095205209038562,11.673240005577641,8.658605036358493
0.1,10,30,TSCP_R,t,1,3.0,absolute_residual,True,7200,800,200,8.6623706457889,13.01395019087713,6.610890214113959
0.1,10,30,TSCP_R,t,2,3.0,absolute_residual,True,7200,800,200,8.011733540433134,5.029615617078153,7.164064253430054
0.1,10,30,TSCP_R,t,3,3.0,absolute_residual,True,7200,800,200,7.548169826379223,3.4186320852400254,6.747262871067739
0.1,10,30,TSCP_R,t,4,3.0,absolute_residual,True,7200,800,200,8.2032386937865,6.044560888958239,6.786709053858994
0.1,10,30,TSCP_R,t,5,3.0,absolute_residual,True,7200,800,200,7.755883475934695,4.005597245714743,6.903891372757941
0.1,10,30,TSCP_R,t,6,3.0,absolute_residual,True,7200,800,200,7.959266864083365,7.66588468015789,6.565296177904347
0.1,10,30,TSCP_R,t,7,3.0,absolute_residual,True,7200,800,200,7.823558329226085,3.807032726762685,6.76085300644757
0.1,10,30,TSCP_R,t,8,3.0,absolute_residual,True,7200,800,200,7.646284738556339,3.289296875598613,6.887573578837751
0.1,10,30,TSCP_R,t,9,3.0,absolute_residual,True,7200,800,200,7.654691866903697,3.6048153524956703,6.939902247045609
0.1,10,30,TSCP_R,t,10,3.0,absolute_residual,True,7200,800,200,8.14516552693899,4.714447320479152,6.7709677740183505
0.1,10,500,Empirical_copula,t,1,3.0,absolute_residual,True,7200,800,200,5.654639371214939,0.8918289581918364,5.561160000094569
0.1,10,500,Empirical_copula,t,2,3.0,absolute_residual,True,7200,800,200,5.74205602144594,1.0228180258680724,5.658528377333198
0.1,10,500,Empirical_copula,t,3,3.0,absolute_residual,True,7200,800,200,5.778443010470112,0.9006365934520284,5.652255197404751
0.1,10,500,Empirical_copula,t,4,3.0,absolute_residual,True,7200,800,200,5.6753296381267635,0.8433018630647772,5.619702160679854
0.1,10,500,Empirical_copula,t,5,3.0,absolute_residual,True,7200,800,200,5.65742266501228,0.9396934259737989,5.492008217337486
0.1,10,500,Empirical_copula,t,6,3.0,absolute_residual,True,7200,800,200,5.629433803474504,0.8826647653576863,5.504597632163691
0.1,10,500,Empirical_copula,t,7,3.0,absolute_residual,True,7200,800,200,5.686489745561499,0.8592954662172589,5.620581739754005
0.1,10,500,Empirical_copula,t,8,3.0,absolute_residual,True,7200,800,200,5.823798115080225,0.9477747811148151,5.720055959997369
0.1,10,500,Empirical_copula,t,9,3.0,absolute_residual,True,7200,800,200,5.745425108908012,0.8952225641075987,5.655778514498019
0.1,10,500,Empirical_copula,t,10,3.0,absolute_residual,True,7200,800,200,5.595940545621883,0.8400824809215347,5.531389166612893
0.1,10,500,Point_CHR,t,1,3.0,absolute_residual,True,7200,800,200,5.923046751090237,0.6780045747314557,5.811301073068851
0.1,10,500,Point_CHR,t,2,3.0,absolute_residual,True,7200,800,200,5.883183635268693,0.6240708160490317,5.834355663907884
0.1,10,500,Point_CHR,t,3,3.0,absolute_residual,True,7200,800,200,5.9045044387781855,0.6203562435523139,5.880040732173149
0.1,10,500,Point_CHR,t,4,3.0,absolute_residual,True,7200,800,200,5.837036660717242,0.6377950066087574,5.781517155117893
0.1,10,500,Point_CHR,t,5,3.0,absolute_residual,True,7200,800,200,5.8233830407928835,0.655200065075047,5.779093254388597
0.1,10,500,Point_CHR,t,6,3.0,absolute_residual,True,7200,800,200,5.88055417496633,0.6222060142406677,5.826993047253527
0.1,10,500,Point_CHR,t,7,3.0,absolute_residual,True,7200,800,200,5.855929356876321,0.6552469008531246,5.887730578071393
0.1,10,500,Point_CHR,t,8,3.0,absolute_residual,True,7200,800,200,5.8590500811965684,0.7249329245493671,5.770513428521445
0.1,10,500,Point_CHR,t,9,3.0,absolute_residual,True,7200,800,200,5.875392381273134,0.7081049795936566,5.814273910162578
0.1,10,500,Point_CHR,t,10,3.0,absolute_residual,True,7200,800,200,5.831902262061501,0.6406153782287689,5.7899342981160045
0.1,10,500,TSCP_R,t,1,3.0,absolute_residual,True,7200,800,200,5.925002283097751,0.869116012343639,5.790284881528588
0.1,10,500,TSCP_R,t,2,3.0,absolute_residual,True,7200,800,200,6.092249373764417,1.190472974829062,5.828699701348112
0.1,10,500,TSCP_R,t,3,3.0,absolute_residual,True,7200,800,200,6.021200547813246,1.1024073844810842,5.793590592063872
0.1,10,500,TSCP_R,t,4,3.0,absolute_residual,True,7200,800,200,5.931486634294514,0.8031237426981862,5.814831533683636
0.1,10,500,TSCP_R,t,5,3.0,absolute_residual,True,7200,800,200,6.146234360226928,1.4712826648390673,5.857368183126875
0.1,10,500,TSCP_R,t,6,3.0,absolute_residual,True,7200,800,200,5.853503409592297,0.8239908900492093,5.68601427827843
0.1,10,500,TSCP_R,t,7,3.0,absolute_residual,True,7200,800,200,6.085490016809709,1.4288223939637281,5.770909476088727
0.1,10,500,TSCP_R,t,8,3.0,absolute_residual,True,7200,800,200,6.024311442106458,1.005302239246926,5.86669233815631
0.1,10,500,TSCP_R,t,9,3.0,absolute_residual,True,7200,800,200,6.089665820588489,1.2461320765038248,5.890197846977937
0.1,10,500,TSCP_R,t,10,3.0,absolute_residual,True,7200,800,200,5.834383483280086,0.9550885684332299,5.6114369631378
