alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,6,11.484799593169981,0.6,equicorrelated
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,7,9.469642121135418,0.6,equicorrelated
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,8,6.680684844927063,0.6,equicorrelated
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,9,4.860826914416627,0.6,equicorrelated
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,10,2.351254916066811,0.6,equicorrelated
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,1,19.943960575849346,0.6,equicorrelated
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,2,19.380020871770096,0.6,equicorrelated
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,3,16.879810462836332,0.6,equicorrelated
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,4,15.588684568179989,0.6,equicorrelated
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,5,10.99794162614372,0.6,equicorrelated
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,6,9.863194315428707,0.6,equicorrelated
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,7,7.647023059336757,0.6,equicorrelated
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,8,6.275376627365041,0.6,equicorrelated
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,9,4.285571871461309,0.6,equicorrelated
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,10,2.062000018043937,0.6,equicorrelated
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,1,19.78315905650367,0.6,equicorrelated
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,2,18.959631412219874,0.6,equicorrelated
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,3,16.03439838192885,0.6,equicorrelated
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,4,12.837161112957377,0.6,equicorrelated
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,5,12.017293444298037,0.6,equicorrelated
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,6,9.631759142137653,0.6,equicorrelated
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,7,7.663384290557179,0.6,equicorrelated
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,8,7.583135495591684,0.6,equicorrelated
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,9,4.383547063645997,0.6,equicorrelated
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,10,1.906798093868462,0.6,equicorrelated
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,1,15.165487527776804,0.6,equicorrelated
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,2,15.165487527776804,0.6,equicorrelated
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,3,15.165487527776804,0.6,equicorrelated
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,4,15.165487527776804,0.6,equicorrelated
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,5,15.165487527776804,0.6,equicorrelated
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,6,15.165487527776804,0.6,equicorrelated
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,7,15.165487527776804,0.6,equicorrelated
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,8,15.165487527776804,0.6,equicorrelated
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,9,15.165487527776804,0.6,equicorrelated
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,10,15.165487527776804,0.6,equicorrelated
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,1,19.03183303431282,0.6,equicorrelated
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,2,17.49280262221719,0.6,equicorrelated
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,3,15.87609429052803,0.6,equicorrelated
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,4,15.772519318384212,0.6,equicorrelated
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,5,10.938361906748183,0.6,equicorrelated
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,6,9.644106859959571,0.6,equicorrelated
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,7,7.629864202923772,0.6,equicorrelated
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,8,5.75872047424836,0.6,equicorrelated
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,9,4.051422108373283,0.6,equicorrelated
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,10,2.2198980639069283,0.6,equicorrelated
0.05,10,100,2,TSCP_R,Gaussian,absolute_residual,1,30.386721246118952,0.6,equicorrelated
0.05,10,100,2,TSCP_R,Gaussian,absolute_residual,2,24.46837858275135,0.6,equicorrelated
0.05,10,100,2,TSCP_R,Gaussian,absolute_residual,3,22.844757465010744,0.6,equicorrelated
0.05,10,100,2,TSCP_R,Gaussian,absolute_residual,4,19.486680808292625,0.6,equicorrelated
0.05,10,100,2,TSCP_R,Gaussian,absolute_residual,5,15.074567932272952,0.6,equicorrelated
0.05,10,100,2,TSCP_R,Gaussian,absolute_residual,6,14.297595777365228,0.6,equicorrelated
0.05,10,100,2,TSCP_R,Gaussian,absolute_residual,7,10.862868221489439,0.6,equicorrelated
0.05,10,100,2,TSCP_R,Gaussian,absolute_residual,8,9.657045898606178,0.6,equicorrelated
0.05,10,100,2,TSCP_R,Gaussian,absolute_residual,9,5.499554238297137,0.6,equicorrelated
0.05,10,100,2,TSCP_R,Gaussian,absolute_residual,10,2.2480751519291173,0.6,equicorrelated
0.05,10,100,2,Point_CHR,Gaussian,absolute_residual,1,28.126313281983798,0.6,equicorrelated
0.05,10,100,2,Point_CHR,Gaussian,absolute_residual,2,33.59142821881797,0.6,equicorrelated
0.05,10,100,2,Point_CHR,Gaussian,absolute_residual,3,25.61848169942122,0.6,equicorrelated
0.05,10,100,2,Point_CHR,Gaussian,absolute_residual,4,18.915834779430213,0.6,equicorrelated
0.05,10,100,2,Point_CHR,Gaussian,absolute_residual,5,15.684427992799673,0.6,equicorrelated
0.05,10,100,2,Point_CHR,Gaussian,absolute_residual,6,16.320849281249053,0.6,equicorrelated
0.05,10,100,2,Point_CHR,Gaussian,absolute_residual,7,11.495712926085698,0.6,equicorrelated
0.05,10,100,2,Point_CHR,Gaussian,absolute_residual,8,9.487387609437722,0.6,equicorrelated
0.05,10,100,2,Point_CHR,Gaussian,absolute_residual,9,7.949056058427173,0.6,equicorrelated
0.05,10,100,2,Point_CHR,Gaussian,absolute_residual,10,1.856032855468806,0.6,equicorrelated
0.05,10,100,2,Unscaled,Gaussian,absolute_residual,1,22.945942327753272,0.6,equicorrelated
0.05,10,100,2,Unscaled,Gaussian,absolute_residual,2,22.945942327753272,0.6,equicorrelated
0.05,10,100,2,Unscaled,Gaussian,absolute_residual,3,22.945942327753272,0.6,equicorrelated
0.05,10,100,2,Unscaled,Gaussian,absolute_residual,4,22.945942327753272,0.6,equicorrelated
0.05,10,100,2,Unscaled,Gaussian,absolute_residual,5,22.945942327753272,0.6,equicorrelated
0.05,10,100,2,Unscaled,Gaussian,absolute_residual,6,22.945942327753272,0.6,equicorrelated
0.05,10,100,2,Unscaled,Gaussian,absolute_residual,7,22.945942327753272,0.6,equicorrelated
0.05,10,100,2,Unscaled,Gaussian,absolute_residual,8,22.945942327753272,0.6,equicorrelated
0.05,10,100,2,Unscaled,Gaussian,absolute_residual,9,22.945942327753272,0.6,equicorrelated
0.05,10,100,2,Unscaled,Gaussian,absolute_residual,10,22.945942327753272,0.6,equicorrelated
