alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,noise_ratio
0.1,10,100,33,Unscaled,Gaussian,absolute_residual,0.94875,29039.992552548418,2.794471276937378,0.0,1
0.1,10,100,33,Empirical_copula,Gaussian,absolute_residual,0.84125,9616.840677248738,3.2756520186472864,0.0019936561584472656,1
0.1,10,100,34,TSCP_R,Gaussian,absolute_residual,0.933125,33266.62701689961,3.084703211526577,0.004000425338745117,1
0.1,10,100,34,Point_CHR,Gaussian,absolute_residual,0.941875,33655.56199145436,3.8478885699070977,0.0,1
0.1,10,100,34,Unscaled,Gaussian,absolute_residual,0.930625,18330.257767379055,2.668805089808818,0.0,1
0.1,10,100,34,Empirical_copula,Gaussian,absolute_residual,0.825625,8134.518364645462,3.0832046529528694,0.0010099411010742188,1
0.1,10,100,35,TSCP_R,Gaussian,absolute_residual,0.914375,19696.456301971364,3.104534236174455,0.003009319305419922,1
0.1,10,100,35,Point_CHR,Gaussian,absolute_residual,0.944375,45207.56905462113,3.512593479487049,0.000997781753540039,1
0.1,10,100,35,Unscaled,Gaussian,absolute_residual,0.923125,18080.343111240363,2.6651439232082157,0.0,1
0.1,10,100,35,Empirical_copula,Gaussian,absolute_residual,0.8675,10395.259441836663,3.1832955315243225,0.0009996891021728516,1
0.1,10,100,36,TSCP_R,Gaussian,absolute_residual,0.909375,17187.909738216164,3.2158688223320118,0.003998279571533203,1
0.1,10,100,36,Point_CHR,Gaussian,absolute_residual,0.90125,24097.602391931472,3.894916405107963,0.0,1
0.1,10,100,36,Unscaled,Gaussian,absolute_residual,0.928125,16011.097473566031,2.6329469581579623,0.0,1
0.1,10,100,36,Empirical_copula,Gaussian,absolute_residual,0.8375,9440.074688712786,3.26832346180841,0.00099945068359375,1
0.1,10,100,37,TSCP_R,Gaussian,absolute_residual,0.9025,13543.554588639083,2.7605820436798063,0.003999233245849609,1
0.1,10,100,37,Point_CHR,Gaussian,absolute_residual,0.9025,15681.173077106034,3.3150518092579944,0.001001596450805664,1
0.1,10,100,37,Unscaled,Gaussian,absolute_residual,0.89625,11818.061865751959,2.554198384715901,0.0,1
0.1,10,100,37,Empirical_copula,Gaussian,absolute_residual,0.845625,8465.892329126971,3.1054061914299247,0.0010066032409667969,1
0.1,10,100,38,TSCP_R,Gaussian,absolute_residual,0.88375,9969.11856261775,2.86333028016647,0.004006147384643555,1
0.1,10,100,38,Point_CHR,Gaussian,absolute_residual,0.90875,16876.77657405798,2.889123351991631,0.0009996891021728516,1
0.1,10,100,38,Unscaled,Gaussian,absolute_residual,0.8475,6478.851808493627,2.4051922989867505,0.0,1
0.1,10,100,38,Empirical_copula,Gaussian,absolute_residual,0.77625,3804.7233486610403,2.591206356560569,0.0009999275207519531,1
0.1,10,100,39,TSCP_R,Gaussian,absolute_residual,0.89625,13309.013575809828,2.9058578466682,0.0030062198638916016,1
0.1,10,100,39,Point_CHR,Gaussian,absolute_residual,0.88,12511.252730225171,2.9749144918540633,0.000993490219116211,1
0.1,10,100,39,Unscaled,Gaussian,absolute_residual,0.873125,9181.775062864346,2.4905350892947653,0.0,1
0.1,10,100,39,Empirical_copula,Gaussian,absolute_residual,0.783125,5179.580076531933,3.092217761300752,0.0010077953338623047,1
0.1,10,100,40,TSCP_R,Gaussian,absolute_residual,0.915625,19327.358061408126,3.1027854277471727,0.004006147384643555,1
0.1,10,100,40,Point_CHR,Gaussian,absolute_residual,0.931875,35154.880952172505,3.660426993300592,0.0,1
0.1,10,100,40,Unscaled,Gaussian,absolute_residual,0.914375,15529.833228024367,2.624923670559534,0.0,1
0.1,10,100,40,Empirical_copula,Gaussian,absolute_residual,0.8275,6900.536908767429,2.7520856118938006,0.0020020008087158203,1
0.1,10,100,41,TSCP_R,Gaussian,absolute_residual,0.87125,9014.50894845989,2.6598388639178254,0.004004240036010742,1
0.1,10,100,41,Point_CHR,Gaussian,absolute_residual,0.835625,6800.782765058402,2.6262831215542395,0.0,1
0.1,10,100,41,Unscaled,Gaussian,absolute_residual,0.819375,5437.981996729073,2.363435619617463,0.0,1
0.1,10,100,41,Empirical_copula,Gaussian,absolute_residual,0.765625,3796.0907425914374,2.547124550594342,0.0010006427764892578,1
0.1,10,100,42,TSCP_R,Gaussian,absolute_residual,0.88375,10342.835935103612,2.721602173468671,0.004004716873168945,1
