alpha,n_dim,n_cal,method,noise_type,coordinate,correlation,correlation_structure,score_type,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,50,Point_CHR,Gaussian,3,0.0,equicorrelated,absolute_residual,200,23.973675556515932,5.486938387029685,23.58170488016268
0.1,10,50,Point_CHR,Gaussian,4,0.0,equicorrelated,absolute_residual,200,21.46680157964187,4.997972467841194,20.643730352351312
0.1,10,50,Point_CHR,Gaussian,5,0.0,equicorrelated,absolute_residual,200,17.849493892993912,4.231200422317472,16.98291963746759
0.1,10,50,Point_CHR,Gaussian,6,0.0,equicorrelated,absolute_residual,200,15.242689524204724,3.3472807221545215,14.399953138777562
0.1,10,50,Point_CHR,Gaussian,7,0.0,equicorrelated,absolute_residual,200,11.979383309604541,2.474874014272897,11.599970458233596
0.1,10,50,Point_CHR,Gaussian,8,0.0,equicorrelated,absolute_residual,200,9.17266124019511,2.123524579501756,8.783500058911365
0.1,10,50,Point_CHR,Gaussian,9,0.0,equicorrelated,absolute_residual,200,6.204442747410171,1.4743414963315713,6.026521083576771
0.1,10,50,Point_CHR,Gaussian,10,0.0,equicorrelated,absolute_residual,200,3.087052422435223,0.679076105816539,2.9469833040942572
0.1,10,50,TSCP_R,Gaussian,1,0.0,equicorrelated,absolute_residual,200,27.374610611733477,3.338808273381907,27.092008620699303
0.1,10,50,TSCP_R,Gaussian,2,0.0,equicorrelated,absolute_residual,200,24.315356747893738,2.9858667075105423,24.001021766864138
0.1,10,50,TSCP_R,Gaussian,3,0.0,equicorrelated,absolute_residual,200,21.9966836186964,2.6790169716659213,21.93983901207004
0.1,10,50,TSCP_R,Gaussian,4,0.0,equicorrelated,absolute_residual,200,19.29550913340695,2.1431723864796917,19.31237022800031
0.1,10,50,TSCP_R,Gaussian,5,0.0,equicorrelated,absolute_residual,200,16.207204019626896,2.0507621027811997,16.09224853878425
0.1,10,50,TSCP_R,Gaussian,6,0.0,equicorrelated,absolute_residual,200,13.645084878401862,1.6866905938972836,13.58541936360054
0.1,10,50,TSCP_R,Gaussian,7,0.0,equicorrelated,absolute_residual,200,10.954842725287927,1.3926005056815711,10.927612601388905
0.1,10,50,TSCP_R,Gaussian,8,0.0,equicorrelated,absolute_residual,200,8.252838864521125,0.9947172874836678,8.238790339623556
0.1,10,50,TSCP_R,Gaussian,9,0.0,equicorrelated,absolute_residual,200,5.54694153058004,0.6396507240741603,5.585718612216484
