alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,noise_ratio
0.1,10,100,Point_CHR,Gaussian,2,absolute_residual,200,21.112862306171998,2.73173348265386,21.240489562019476,10
0.1,10,100,Point_CHR,Gaussian,3,absolute_residual,200,16.436089190322722,2.230929837281102,16.500507955124995,10
0.1,10,100,Point_CHR,Gaussian,4,absolute_residual,200,12.548481183609981,1.824649486606117,12.372997064325272,10
0.1,10,100,Point_CHR,Gaussian,5,absolute_residual,200,9.745994926973315,1.2749151550178939,9.52321119556232,10
0.1,10,100,Point_CHR,Gaussian,6,absolute_residual,200,7.652954727833401,1.0605795264467714,7.616386410888939,10
0.1,10,100,Point_CHR,Gaussian,7,absolute_residual,200,5.925027027294577,0.7902138550380828,5.905893622603383,10
0.1,10,100,Point_CHR,Gaussian,8,absolute_residual,200,4.585032868855939,0.6050565504497265,4.54945300670919,10
0.1,10,100,Point_CHR,Gaussian,9,absolute_residual,200,3.490982322440963,0.47376400439415756,3.4632404678264974,10
0.1,10,100,Point_CHR,Gaussian,10,absolute_residual,200,2.694452317258648,0.3865209108668501,2.6220804364047128,10
0.1,10,100,TSCP_R,Gaussian,1,absolute_residual,200,26.433994540518896,2.187196892369148,26.420740639858955,10
0.1,10,100,TSCP_R,Gaussian,2,absolute_residual,200,20.525543418447,1.5880650439136748,20.552304031293282,10
0.1,10,100,TSCP_R,Gaussian,3,absolute_residual,200,15.968005401332844,1.3832771618177722,16.013582724870936,10
0.1,10,100,TSCP_R,Gaussian,4,absolute_residual,200,12.308112153767151,1.0544886023209694,12.286057270465015,10
0.1,10,100,TSCP_R,Gaussian,5,absolute_residual,200,9.406103042719062,0.7782744521192134,9.451751789208995,10
0.1,10,100,TSCP_R,Gaussian,6,absolute_residual,200,7.336627788655517,0.5901543140373308,7.3055082921389305,10
0.1,10,100,TSCP_R,Gaussian,7,absolute_residual,200,5.651934520113475,0.49690508427755076,5.642589026208805,10
0.1,10,100,TSCP_R,Gaussian,8,absolute_residual,200,4.460049461135844,0.3946286179241069,4.438598598941909,10
0.1,10,100,TSCP_R,Gaussian,9,absolute_residual,200,3.4109171855817193,0.3093344130648672,3.397750952912999,10
0.1,10,100,TSCP_R,Gaussian,10,absolute_residual,200,2.6296278786977796,0.23839663387160745,2.604275976188287,10
0.1,10,100,Unscaled,Gaussian,1,absolute_residual,200,18.060086694610607,1.189822246005988,17.984901720440295,10
0.1,10,100,Unscaled,Gaussian,2,absolute_residual,200,18.060086694610607,1.189822246005988,17.984901720440295,10
0.1,10,100,Unscaled,Gaussian,3,absolute_residual,200,18.060086694610607,1.189822246005988,17.984901720440295,10
0.1,10,100,Unscaled,Gaussian,4,absolute_residual,200,18.060086694610607,1.189822246005988,17.984901720440295,10
0.1,10,100,Unscaled,Gaussian,5,absolute_residual,200,18.060086694610607,1.189822246005988,17.984901720440295,10
0.1,10,100,Unscaled,Gaussian,6,absolute_residual,200,18.060086694610607,1.189822246005988,17.984901720440295,10
0.1,10,100,Unscaled,Gaussian,7,absolute_residual,200,18.060086694610607,1.189822246005988,17.984901720440295,10
0.1,10,100,Unscaled,Gaussian,8,absolute_residual,200,18.060086694610607,1.189822246005988,17.984901720440295,10
0.1,10,100,Unscaled,Gaussian,9,absolute_residual,200,18.060086694610607,1.189822246005988,17.984901720440295,10
0.1,10,100,Unscaled,Gaussian,10,absolute_residual,200,18.060086694610607,1.189822246005988,17.984901720440295,10
