alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,correlation,correlation_structure
0.1,10,100,11,Point_CHR,Gaussian,absolute_residual,0.91,38008309497.23636,22.6686627428134,0.0,0.6,equicorrelated
0.1,10,100,11,Unscaled,Gaussian,absolute_residual,0.854375,1728891755940.9036,16.740822063075314,0.0,0.6,equicorrelated
0.1,10,100,11,Empirical_copula,Gaussian,absolute_residual,0.8275,11087371436.483282,20.607867272070415,0.0010008811950683594,0.6,equicorrelated
0.2,10,100,11,TSCP_R,Gaussian,absolute_residual,0.759375,3752682069.886832,17.65522765647057,0.0029993057250976562,0.6,equicorrelated
0.2,10,100,11,Point_CHR,Gaussian,absolute_residual,0.705625,2126532013.280298,18.000199177901294,0.0,0.6,equicorrelated
0.2,10,100,11,Unscaled,Gaussian,absolute_residual,0.7775,463401477500.8917,14.675595788022777,0.0,0.6,equicorrelated
0.2,10,100,11,Empirical_copula,Gaussian,absolute_residual,0.73375,2774666564.069637,17.77329817573877,0.0010056495666503906,0.6,equicorrelated
0.05,10,100,12,TSCP_R,Gaussian,absolute_residual,0.9675,123852092725.46124,29.18669990782564,0.0039980411529541016,0.6,equicorrelated
0.05,10,100,12,Point_CHR,Gaussian,absolute_residual,0.97375,294626493826.99115,31.03495789791637,0.0010013580322265625,0.6,equicorrelated
0.05,10,100,12,Unscaled,Gaussian,absolute_residual,0.96,28404661983933.754,22.148226824101837,0.0,0.6,equicorrelated
0.05,10,100,12,Empirical_copula,Gaussian,absolute_residual,0.91625,97168498760.6003,29.155895994029578,0.0010061264038085938,0.6,equicorrelated
0.1,10,100,12,TSCP_R,Gaussian,absolute_residual,0.888125,22422699739.11022,25.00658171035102,0.00400233268737793,0.6,equicorrelated
0.1,10,100,12,Point_CHR,Gaussian,absolute_residual,0.901875,26175834678.136276,23.31686180347941,0.0,0.6,equicorrelated
0.1,10,100,12,Unscaled,Gaussian,absolute_residual,0.87125,3054829561322.432,17.721427341732173,0.0,0.6,equicorrelated
0.1,10,100,12,Empirical_copula,Gaussian,absolute_residual,0.859375,20004828127.071377,24.978321450731787,0.0009906291961669922,0.6,equicorrelated
0.2,10,100,12,TSCP_R,Gaussian,absolute_residual,0.791875,6290729486.534187,22.111479249851076,0.0030002593994140625,0.6,equicorrelated
0.2,10,100,12,Point_CHR,Gaussian,absolute_residual,0.7875,5918784622.914594,20.614589036230285,0.0009992122650146484,0.6,equicorrelated
0.2,10,100,12,Unscaled,Gaussian,absolute_residual,0.795625,922863920084.2119,15.722216296383442,0.0,0.6,equicorrelated
