alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test
0.1,2,30,29,Unscaled,Gaussian,absolute_residual,1,3.2589645203747546,True,2400,600
0.1,2,30,29,Unscaled,Gaussian,absolute_residual,2,3.2589645203747546,True,2400,600
0.1,2,30,30,TSCP_R,Gaussian,absolute_residual,1,5.145577492545463,True,2400,600
0.1,2,30,30,TSCP_R,Gaussian,absolute_residual,2,2.3256563581676697,True,2400,600
0.1,2,30,30,Point_CHR,Gaussian,absolute_residual,1,3.2902513777561615,True,2400,600
0.1,2,30,30,Point_CHR,Gaussian,absolute_residual,2,1.3892943952611545,True,2400,600
0.1,2,30,30,Unscaled,Gaussian,absolute_residual,1,3.616346552643843,True,2400,600
0.1,2,30,30,Unscaled,Gaussian,absolute_residual,2,3.616346552643843,True,2400,600
0.1,2,30,31,TSCP_R,Gaussian,absolute_residual,1,4.264969053092226,True,2400,600
0.1,2,30,31,TSCP_R,Gaussian,absolute_residual,2,2.171859126931298,True,2400,600
0.1,2,30,31,Point_CHR,Gaussian,absolute_residual,1,4.739062045667257,True,2400,600
0.1,2,30,31,Point_CHR,Gaussian,absolute_residual,2,3.200622514342589,True,2400,600
0.1,2,30,31,Unscaled,Gaussian,absolute_residual,1,3.0022850315830034,True,2400,600
0.1,2,30,31,Unscaled,Gaussian,absolute_residual,2,3.0022850315830034,True,2400,600
0.1,2,30,32,TSCP_R,Gaussian,absolute_residual,1,5.691717164006211,True,2400,600
0.1,2,30,32,TSCP_R,Gaussian,absolute_residual,2,2.393323569552267,True,2400,600
0.1,2,30,32,Point_CHR,Gaussian,absolute_residual,1,5.815155848151747,True,2400,600
0.1,2,30,32,Point_CHR,Gaussian,absolute_residual,2,2.6030879094580697,True,2400,600
0.1,2,30,32,Unscaled,Gaussian,absolute_residual,1,4.922632739174232,True,2400,600
0.1,2,30,32,Unscaled,Gaussian,absolute_residual,2,4.922632739174232,True,2400,600
0.1,2,30,33,TSCP_R,Gaussian,absolute_residual,1,4.482471239135346,True,2400,600
0.1,2,30,33,TSCP_R,Gaussian,absolute_residual,2,1.9683086481719676,True,2400,600
0.1,2,30,33,Point_CHR,Gaussian,absolute_residual,1,4.26394002730802,True,2400,600
0.1,2,30,33,Point_CHR,Gaussian,absolute_residual,2,2.0820928567385772,True,2400,600
0.1,2,30,33,Unscaled,Gaussian,absolute_residual,1,4.0532728970087435,True,2400,600
0.1,2,30,33,Unscaled,Gaussian,absolute_residual,2,4.0532728970087435,True,2400,600
