alpha,n_dim,n_cal,method,noise_type,coordinate,correlation,correlation_structure,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,100,TSCP_R,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,10.454825912984466,0.8647285790461698,10.484685962772673
0.1,10,100,TSCP_R,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,7.9213416945903985,0.6243116873688673,7.945937489782851
0.1,10,100,TSCP_R,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,5.311748590036376,0.41251014425952076,5.336807405596675
0.1,10,100,TSCP_R,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,2.622731403871642,0.21973881428691747,2.622795129763871
0.1,10,100,Unscaled,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.84433167840685,1.1387219324323672,19.801687692721707
0.1,10,100,Unscaled,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.84433167840685,1.1387219324323672,19.801687692721707
0.1,10,100,Unscaled,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.84433167840685,1.1387219324323672,19.801687692721707
0.1,10,100,Unscaled,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.84433167840685,1.1387219324323672,19.801687692721707
0.1,10,100,Unscaled,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.84433167840685,1.1387219324323672,19.801687692721707
0.1,10,100,Unscaled,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.84433167840685,1.1387219324323672,19.801687692721707
0.1,10,100,Unscaled,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.84433167840685,1.1387219324323672,19.801687692721707
0.1,10,100,Unscaled,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.84433167840685,1.1387219324323672,19.801687692721707
0.1,10,100,Unscaled,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.84433167840685,1.1387219324323672,19.801687692721707
0.1,10,100,Unscaled,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.84433167840685,1.1387219324323672,19.801687692721707
0.1,10,300,Empirical_copula,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,25.18738648635916,1.8989124305630503,25.163088188443993
0.1,10,300,Empirical_copula,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,22.75840473725168,1.8009406766627578,22.562014740081946
0.1,10,300,Empirical_copula,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,20.126068748407587,1.446881321312456,19.97035220250841
0.1,10,300,Empirical_copula,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,17.656841742048424,1.3449176407657921,17.500428706670036
0.1,10,300,Empirical_copula,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,15.137254654017847,1.1498810763716014,15.103256068799837
0.1,10,300,Empirical_copula,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,12.645538773699641,1.0001472296159108,12.582740508981999
