alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,noise_ratio
0.1,10,100,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,13.201883119662838,1.1633682867385806,13.116693690177174,5
0.1,10,100,TSCP_R,Gaussian,2,absolute_residual,True,7200,800,200,11.131316079443412,0.957766586492558,11.051972768793872,5
0.1,10,100,TSCP_R,Gaussian,3,absolute_residual,True,7200,800,200,9.295907106446073,0.8287216738748062,9.21642431325467,5
0.1,10,100,TSCP_R,Gaussian,4,absolute_residual,True,7200,800,200,7.691635135749948,0.6396098900608925,7.6364258986849425,5
0.1,10,100,TSCP_R,Gaussian,5,absolute_residual,True,7200,800,200,6.520001568138193,0.5170357262251156,6.49806949369011,5
0.1,10,100,TSCP_R,Gaussian,6,absolute_residual,True,7200,800,200,5.452627877317254,0.41813285830629804,5.440207481707635,5
0.1,10,100,TSCP_R,Gaussian,7,absolute_residual,True,7200,800,200,4.506919836795453,0.40002211791281367,4.475824098762092,5
0.1,10,100,TSCP_R,Gaussian,8,absolute_residual,True,7200,800,200,3.781307609190962,0.2782053819094247,3.787017377350627,5
0.1,10,100,TSCP_R,Gaussian,9,absolute_residual,True,7200,800,200,3.1392580659919997,0.2395746999451137,3.1240338906823295,5
0.1,10,100,TSCP_R,Gaussian,10,absolute_residual,True,7200,800,200,2.639811234741448,0.22314363014726946,2.6164460857710594,5
0.1,10,100,Unscaled,Gaussian,1,absolute_residual,True,7200,800,200,9.326224109120332,0.572195316014465,9.37196318487732,5
0.1,10,100,Unscaled,Gaussian,2,absolute_residual,True,7200,800,200,9.326224109120332,0.572195316014465,9.37196318487732,5
0.1,10,100,Unscaled,Gaussian,3,absolute_residual,True,7200,800,200,9.326224109120332,0.572195316014465,9.37196318487732,5
0.1,10,100,Unscaled,Gaussian,4,absolute_residual,True,7200,800,200,9.326224109120332,0.572195316014465,9.37196318487732,5
0.1,10,100,Unscaled,Gaussian,5,absolute_residual,True,7200,800,200,9.326224109120332,0.572195316014465,9.37196318487732,5
0.1,10,100,Unscaled,Gaussian,6,absolute_residual,True,7200,800,200,9.326224109120332,0.572195316014465,9.37196318487732,5
0.1,10,100,Unscaled,Gaussian,7,absolute_residual,True,7200,800,200,9.326224109120332,0.572195316014465,9.37196318487732,5
0.1,10,100,Unscaled,Gaussian,8,absolute_residual,True,7200,800,200,9.326224109120332,0.572195316014465,9.37196318487732,5
0.1,10,100,Unscaled,Gaussian,9,absolute_residual,True,7200,800,200,9.326224109120332,0.572195316014465,9.37196318487732,5
0.1,10,100,Unscaled,Gaussian,10,absolute_residual,True,7200,800,200,9.326224109120332,0.572195316014465,9.37196318487732,5
0.1,10,100,Empirical_copula,Gaussian,1,absolute_residual,True,7200,800,200,24.127014902442035,2.7535638409373675,24.041677404431773,10
0.1,10,100,Empirical_copula,Gaussian,2,absolute_residual,True,7200,800,200,18.841544571807177,2.2057860549455492,18.744892005329064,10
0.1,10,100,Empirical_copula,Gaussian,3,absolute_residual,True,7200,800,200,14.569805876513122,1.7978529892678239,14.443482503293392,10
0.1,10,100,Empirical_copula,Gaussian,4,absolute_residual,True,7200,800,200,11.217931059763693,1.3287632183376805,11.139770978187308,10
0.1,10,100,Empirical_copula,Gaussian,5,absolute_residual,True,7200,800,200,8.739774797552236,0.9370736460082174,8.658749361520945,10
0.1,10,100,Empirical_copula,Gaussian,6,absolute_residual,True,7200,800,200,6.815042667909181,0.7551686037007201,6.7447052070635305,10
0.1,10,100,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,5.1925156927134015,0.6066088119973263,5.118873608739378,10
