alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,heteroskedastic_fraction,heteroskedastic_strength,redraw_train_test,n_train,n_test
0.1,10,30,30,Empirical_copula,Gaussian,absolute_residual,0.745,10761083050.367968,21.235012804151065,0.0,0.5,1.5,True,7200,800
0.1,10,30,31,TSCP_R,Gaussian,absolute_residual,0.855,54537330143.41616,25.587636193285817,0.0030078887939453125,0.5,1.5,True,7200,800
0.1,10,30,31,Point_CHR,Gaussian,absolute_residual,0.89375,167671431647.85675,39.73974532520561,0.0,0.5,1.5,True,7200,800
0.1,10,30,31,Unscaled,Gaussian,absolute_residual,0.8775,4637351769733.36,18.476810475401088,0.0,0.5,1.5,True,7200,800
0.1,10,30,31,Empirical_copula,Gaussian,absolute_residual,0.7475,19811669392.074036,30.92057858970274,0.0009953975677490234,0.5,1.5,True,7200,800
0.1,10,30,32,TSCP_R,Gaussian,absolute_residual,0.955,2200187712216.623,42.45022643758836,0.003000020980834961,0.5,1.5,True,7200,800
0.1,10,30,32,Point_CHR,Gaussian,absolute_residual,1.0,1850762219875809.5,101.1500491211765,0.001001119613647461,0.5,1.5,True,7200,800
0.1,10,30,32,Unscaled,Gaussian,absolute_residual,0.92,39450010503559.92,22.887834914011204,0.0,0.5,1.5,True,7200,800
0.1,10,30,32,Empirical_copula,Gaussian,absolute_residual,0.76125,81525069882.76564,37.74657132652343,0.0,0.5,1.5,True,7200,800
0.1,10,30,33,TSCP_R,Gaussian,absolute_residual,0.975,1076112784672.1461,34.17674068930049,0.002999544143676758,0.5,1.5,True,7200,800
0.1,10,30,33,Point_CHR,Gaussian,absolute_residual,0.98375,8462153282388.857,64.43312338500908,0.0010101795196533203,0.5,1.5,True,7200,800
0.1,10,30,33,Unscaled,Gaussian,absolute_residual,0.88875,8448444914005.407,19.61903661326484,0.0,0.5,1.5,True,7200,800
0.1,10,30,33,Empirical_copula,Gaussian,absolute_residual,0.82375,32862344961.683212,29.628064309404813,0.0009965896606445312,0.5,1.5,True,7200,800
0.1,10,30,34,TSCP_R,Gaussian,absolute_residual,0.89875,309304339477.0255,38.31681081651685,0.0030002593994140625,0.5,1.5,True,7200,800
0.1,10,30,34,Point_CHR,Gaussian,absolute_residual,0.985,19552057713401.95,60.28548110372594,0.0010008811950683594,0.5,1.5,True,7200,800
0.1,10,30,34,Unscaled,Gaussian,absolute_residual,0.94625,78063932586310.47,24.50445470075492,0.0,0.5,1.5,True,7200,800
0.1,10,30,34,Empirical_copula,Gaussian,absolute_residual,0.695,24750207831.475666,28.028619750979228,0.0,0.5,1.5,True,7200,800
0.1,10,30,35,TSCP_R,Gaussian,absolute_residual,0.86875,96210241691.05229,36.372909658626824,0.0029909610748291016,0.5,1.5,True,7200,800
0.1,10,30,35,Point_CHR,Gaussian,absolute_residual,0.97,2474538962120.8965,48.765231922283625,0.0,0.5,1.5,True,7200,800
0.1,10,30,35,Unscaled,Gaussian,absolute_residual,0.9625,274307079055490.3,27.78585093958176,0.0010018348693847656,0.5,1.5,True,7200,800
0.1,10,30,35,Empirical_copula,Gaussian,absolute_residual,0.71375,21843604738.815845,42.027022118267276,0.0,0.5,1.5,True,7200,800
0.1,10,30,36,TSCP_R,Gaussian,absolute_residual,0.83375,67166701725.2821,28.16494858886678,0.003007173538208008,0.5,1.5,True,7200,800
0.1,10,30,36,Point_CHR,Gaussian,absolute_residual,0.8775,391875309522.6176,42.42288225189112,0.0,0.5,1.5,True,7200,800
0.1,10,30,36,Unscaled,Gaussian,absolute_residual,0.9275,52374072778638.234,23.54570154208118,0.0010001659393310547,0.5,1.5,True,7200,800
