dataset,method,coordinate,target,n_trials,full_length_mean,full_length_sd,paired_length_ratio_mean,paired_length_ratio_sd,infinite_fraction,marginal_coverage_mean,marginal_coverage_sd,marginal_mc95_lower,marginal_mc95_upper
scm20d,Unscaled,2,MTLp2A,200,658.8108769918346,34.92566967926108,1.0,0.0,0.0,0.990783166109253,0.002703680474028654,0.9904084551129729,0.991157877105533
scm20d,Unscaled,3,MTLp3A,200,658.8108769918346,34.92566967926108,1.0,0.0,0.0,0.9922017837235227,0.002314178300220108,0.9918810549744065,0.992522512472639
scm20d,Unscaled,4,MTLp4A,200,658.8108769918346,34.92566967926108,1.0,0.0,0.0,0.9890942028985507,0.0031727443458437667,0.9886544829663348,0.9895339228307665
scm20d,Unscaled,5,MTLp5A,200,658.8108769918346,34.92566967926108,1.0,0.0,0.0,0.9813600891861762,0.003988229528022824,0.9808073487739143,0.9819128295984382
scm20d,Unscaled,6,MTLp6A,200,658.8108769918346,34.92566967926108,1.0,0.0,0.0,0.9769007803790413,0.00476652221989753,0.9762401741029055,0.977561386655177
scm20d,Unscaled,7,MTLp7A,200,658.8108769918346,34.92566967926108,1.0,0.0,0.0,0.9755629877369008,0.005058545500722798,0.9748619090989064,0.9762640663748952
scm20d,Unscaled,8,MTLp8A,200,658.8108769918346,34.92566967926108,1.0,0.0,0.0,0.9716638795986623,0.005264053426957625,0.9709343190152152,0.9723934401821094
scm20d,Unscaled,9,MTLp9A,200,658.8108769918346,34.92566967926108,1.0,0.0,0.0,0.9932803790412486,0.002339814576858087,0.9929560972854615,0.9936046607970356
scm20d,Unscaled,10,MTLp10A,200,658.8108769918346,34.92566967926108,1.0,0.0,0.0,0.9882441471571906,0.0030907882061956818,0.9878157857664274,0.9886725085479537
scm20d,Unscaled,11,MTLp11A,200,658.8108769918346,34.92566967926108,1.0,0.0,0.0,0.9920150501672242,0.0026006923559732196,0.9916546125958893,0.9923754877385592
scm20d,Unscaled,12,MTLp12A,200,658.8108769918346,34.92566967926108,1.0,0.0,0.0,0.9875780379041248,0.0028974179539133986,0.9871764762630286,0.987979599545221
scm20d,Unscaled,13,MTLp13A,200,658.8108769918346,34.92566967926108,1.0,0.0,0.0,0.9828623188405797,0.004332146817954487,0.9822619139237337,0.9834627237574257
scm20d,Unscaled,14,MTLp14A,200,658.8108769918346,34.92566967926108,1.0,0.0,0.0,0.976814381270903,0.00524840489788698,0.9760869894629361,0.9775417730788699
