dataset,method,coordinate,target,n_trials,full_length_mean,full_length_sd,paired_length_ratio_mean,paired_length_ratio_sd,infinite_fraction,marginal_coverage_mean,marginal_coverage_sd,marginal_mc95_lower,marginal_mc95_upper
stock,Point_CHR,4,Total Risk,200,inf,,inf,,1.0,1.0,0.0,1.0,1.0
stock,Point_CHR,5,Abs. Win Rate,200,inf,,inf,,1.0,1.0,0.0,1.0,1.0
stock,Point_CHR,6,Rel. Win Rate,200,inf,,inf,,1.0,1.0,0.0,1.0,1.0
stock,TSCP_R,1,Annual Return,200,0.49028502707297295,0.16837540946538862,0.5657572532711166,0.1552085580034455,0.0,0.997734375,0.007245861077064312,0.9967301498893869,0.998738600110613
stock,TSCP_R,2,Excess Return,200,0.16814352356045156,0.0601721837916665,0.1950624644673958,0.05923914325140973,0.0,0.995,0.027702188995197254,0.9911606724843258,0.9988393275156742
stock,TSCP_R,3,Systematic Risk,200,1.2974697454083246,0.8075593546871412,1.359207917216799,0.3050813783686249,0.0,0.971953125,0.038218665190638795,0.9666562882444569,0.977249961755543
stock,TSCP_R,4,Total Risk,200,0.18605101829082113,0.10138825936558413,0.2007472984347085,0.05200351556571401,0.0,0.98453125,0.033777716959595014,0.9798498972678346,0.9892126027321654
stock,TSCP_R,5,Abs. Win Rate,200,0.5875470779848316,0.21172469719029416,0.677005465315573,0.19744135163889245,0.0,0.996640625,0.010136752883913202,0.9952357427261282,0.9980455072738716
stock,TSCP_R,6,Rel. Win Rate,200,1.0982616500138815,0.36296634209252726,1.281963060918094,0.38005732287675503,0.0,0.999140625,0.005241662102075704,0.998414167695855,0.999867082304145
rf2,Empirical_copula,1,CHSI2_48H__0,200,8.168080868737238,1.8507462533743924,1.4749933856368131,0.3141140764836214,0.0,0.979228515625,0.007693433943340715,0.9781622600798584,0.9802947711701416
rf2,Empirical_copula,2,NASI2_48H__0,200,0.20265995051198607,0.057397380595064953,0.03675531416208753,0.010580975508828472,0.0,0.98009765625,0.007749681468671476,0.9790236051955675,0.9811717073044325
rf2,Empirical_copula,3,EADM7_48H__0,200,8.956031559822774,1.7048936746831593,1.616728346986348,0.2706329662619369,0.0,0.978935546875,0.007508575205973506,0.9778949114437421,0.9799761823062578
rf2,Empirical_copula,4,SCLM7_48H__0,200,6.060620399308106,1.6991888611096653,1.0921504398339277,0.2780926119772499,0.0,0.9798274739583333,0.007538465147116869,0.9787826959925814,0.9808722519240851
rf2,Empirical_copula,5,CLKM7_48H__0,200,6.467141572179951,0.8300487268389788,1.1707930467131655,0.14565631970217102,0.0,0.97986328125,0.007382306976675647,0.9788401457024944,0.9808864167975055
rf2,Empirical_copula,6,VALI2_48H__0,200,1.7135415914429657,0.2384776591137579,0.31076566325623395,0.045540087788180014,0.0,0.9789225260416667,0.008604538776497188,0.9777299978089694,0.9801150542743641
rf2,Empirical_copula,7,NAPM7_48H__0,200,3.219427417710983,0.7538434731023116,0.5816594418390421,0.12915322039662802,0.0,0.979482421875,0.0074072123657511115,0.9784558346166717,0.9805090091333283
rf2,Empirical_copula,8,DLDI4_48H__0,200,3.6578159204293104,0.5970878534450768,0.6624130055345758,0.10567365732960109,0.0,0.9794466145833334,0.008121944181014685,0.9783209705491979,0.9805722586174689
rf2,Unscaled,1,CHSI2_48H__0,200,5.532998964750032,0.3778292018637589,1.0,0.0,0.0,0.961376953125,0.007674401893150391,0.9603133352874413,0.9624405709625588
rf2,Unscaled,2,NASI2_48H__0,200,5.532998964750032,0.3778292018637589,1.0,0.0,0.0,0.9989843750000001,0.0008063645423291147,0.9988726185761463,0.999096131423854
rf2,Unscaled,3,EADM7_48H__0,200,5.532998964750032,0.3778292018637589,1.0,0.0,0.0,0.9461295572916666,0.010491236321088171,0.9446755461199149,0.9475835684634183
rf2,Unscaled,4,SCLM7_48H__0,200,5.532998964750032,0.3778292018637589,1.0,0.0,0.0,0.9793619791666666,0.004448259378750924,0.9787454818699131,0.9799784764634201
rf2,Unscaled,5,CLKM7_48H__0,200,5.532998964750032,0.3778292018637589,1.0,0.0,0.0,0.97134765625,0.006392218366044652,0.9704617399831227,0.9722335725168773
rf2,Unscaled,6,VALI2_48H__0,200,5.532998964750032,0.3778292018637589,1.0,0.0,0.0,0.999892578125,0.0004268791507654199,0.9998334156931183,0.9999517405568816
rf2,Unscaled,7,NAPM7_48H__0,200,5.532998964750032,0.3778292018637589,1.0,0.0,0.0,0.9916927083333335,0.0024812311825173463,0.991348827235943,0.9920365894307239
rf2,Unscaled,8,DLDI4_48H__0,200,5.532998964750032,0.3778292018637589,1.0,0.0,0.0,0.993095703125,0.002557869365996075,0.9927412005172792,0.9934502057327207
rf2,Point_CHR,1,CHSI2_48H__0,200,7.9007387509217395,1.3039663392224659,1.4278717646170742,0.21155544593768985,0.0,0.9788151041666667,0.00729942082914492,0.9778034560531302,0.9798267522802032
rf2,Point_CHR,2,NASI2_48H__0,200,0.20348896188633028,0.03300707502964872,0.036843913381749714,0.00583523282373008,0.0,0.982109375,0.006449265256535739,0.9812155524374728,0.9830031975625271
rf2,Point_CHR,3,EADM7_48H__0,200,9.55828795430357,1.433491780479055,1.728292761517406,0.23413054607124317,0.0,0.982001953125,0.006862687855594778,0.9810508331135079,0.9829530731364922
rf2,Point_CHR,4,SCLM7_48H__0,200,4.813855478983293,0.8619354442465846,0.8710672788129383,0.15023988314982087,0.0,0.97314453125,0.008287885431698687,0.9719958889318715,0.9742931735681285
rf2,Point_CHR,5,CLKM7_48H__0,200,7.435295565552744,1.191935358946438,1.3454369062553588,0.20642322614566977,0.0,0.985654296875,0.007299285873255563,0.9846426674653955,0.9866659262846044
rf2,Point_CHR,6,VALI2_48H__0,200,2.0368256312566944,0.3265441649311759,0.369242557694616,0.06103897366387848,0.0,0.986630859375,0.006840298975805304,0.9856828423039374,0.9875788764460625
