dataset,trial,n_cal,n_test,n_dim,alpha,fallback,any_backward,backward_coordinates,binary_coordinates,binary_candidates,backward_candidates,regime,runtime_ms,zero_scale_coordinates,fit_seconds
stock,164,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0085,0,0.013413000153377652
stock,165,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9675,0,0.01297320006415248
stock,166,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0736,0,0.017768099904060364
stock,167,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9475,0,0.017390099819749594
stock,168,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.017,0,0.015145100187510252
stock,169,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0036,0,0.014027800178155303
stock,170,15,64,6,0.1,0,0,0,6,25,0,binary_only,0.9782,0,0.015894800191745162
stock,171,15,64,6,0.1,0,0,0,6,25,0,binary_only,0.997,0,0.012708199908956885
stock,172,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0109,0,0.018226099899038672
stock,173,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9676,0,0.013171300059184432
stock,174,15,64,6,0.1,0,0,0,6,26,0,binary_only,1.1008,0,0.01291080005466938
stock,175,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9884,0,0.018258399795740843
stock,176,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0361,0,0.015755000058561563
stock,177,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.958,0,0.017653699964284897
stock,178,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0719,0,0.014558900147676468
stock,179,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0758,0,0.01578110014088452
stock,180,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9936,0,0.014577300054952502
stock,181,15,64,6,0.1,0,0,0,6,23,0,binary_only,1.02,0,0.014449999900534749
stock,182,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0344,0,0.016401300206780434
stock,183,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9579,0,0.014442899962887168
stock,184,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9523,0,0.013148400001227856
stock,185,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0047,0,0.018412800040096045
stock,186,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0116,0,0.014151799958199263
stock,187,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0304,0,0.01588119985535741
stock,188,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9711,0,0.012710500042885542
stock,189,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9741,0,0.015314099844545126
stock,190,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0056,0,0.014917699852958322
stock,191,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9958,0,0.013770499965175986
stock,192,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9431,0,0.014595699962228537
stock,193,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9498,0,0.015489599900320172
stock,194,15,64,6,0.1,0,0,0,6,27,0,binary_only,1.0317,0,0.012490600114688277
stock,195,15,64,6,0.1,0,0,0,6,22,0,binary_only,0.9293,0,0.013177500106394291
stock,196,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9864,0,0.013872200157493353
stock,197,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0074,0,0.013915700139477849
stock,198,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0283,0,0.012973699951544404
stock,199,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.991,0,0.016442300053313375
rf2,0,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.7763,0,3.773071800125763
rf2,1,384,1536,8,0.1,0,0,0,8,62,0,binary_only,2.8699,0,4.101297300076112
rf2,2,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.566,0,4.10469019995071
